DateTime,AddedIPs,RemovedIPs
1594166194,0,5
1594168128,0,4
1594171303,2,3
1594173481,0,3
1594175543,2,4
1594177715,2,2
1594179636,0,2
1594181661,3,1
1594183467,3,2
1594185369,1,3
1594187320,0,3
1594189207,1,2
1594191166,0,4
1594193071,0,1
1594195006,2,1
1594196888,0,2
1594199769,0,1
1594203637,2,3
1594205531,1,2
1594207484,7,3
1594209408,3,0
1594211308,0,1
1594214191,1,2
1594216118,0,1
1594218017,0,3
1594219931,2,1
1594221880,4,2
1594223768,6,2
1594225688,1,1
1594227713,1,2
1594229535,0,1
1594231531,2,0
1594233402,1,1
1594235344,2,0
1594237245,3,2
1594239138,4,1
1594241056,3,0
1594242992,4,0
1594244888,4,0
1594246844,3,0
1594248733,0,1
1594250665,2,2
1594252618,2,0
1594254512,3,0
1594257376,3,1
1594259565,3,0
1594261454,3,1
1594263374,4,2
1594265288,1,1
1594267243,1,2
1594269157,2,4
1594271061,3,0
1594272973,1,1
1594275006,6,0
1594276815,4,0
1594278736,4,0
1594280678,5,2
1594282619,2,0
1594284490,3,0
1594286436,4,1
1594288334,6,0
1594290252,2,0
1594292245,6,0
1594294094,2,5
1594297206,3,10
1594299130,6,0
1594301075,4,1
1594302968,3,0
1594304885,2,2
1594307804,2,4
1594309692,2,7
1594311618,2,2
1594313862,4,1
1594315715,2,0
1594318591,1,2
1594320487,2,1
1594322419,1,2
1594324337,1,2
1594326282,0,1
1594328170,1,0
1594330087,0,2
1594332070,1,1
1594333930,3,1
1594335851,2,0
1594337804,3,1
1594339776,0,2
1594341644,2,1
1594343531,0,4
1594345479,0,3
1594347426,3,3
1594349320,1,4
1594351210,0,2
1594353132,3,0
1594355083,3,1
1594356976,2,1
1594358888,3,0
1594362027,0,8
1594363929,0,3
1594365881,3,4
1594367775,0,3
1594369690,1,1
1594372604,3,6
1594374511,0,3
1594376406,0,4
1594378362,1,3
1594380250,1,2
1594382171,1,1
1594384116,1,1
1594386976,1,5
1594388889,1,7
1594390838,1,0
1594392732,0,4
1594394655,0,1
1594396599,2,3
1594398484,0,3
1594401372,3,5
1594403292,1,2
1594405235,1,1
1594407150,1,2
1594409049,2,1
1594410995,0,3
1594412885,0,3
1594414842,0,1
1594416728,3,1
1594418896,0,3
1594420827,1,2
1594422735,0,3
1594424653,1,2
1594426580,2,3
1594428492,0,2
1594430438,1,2
1594432330,1,2
1594434281,2,2
1594436199,0,2
1594438101,0,1
1594440084,1,4
1594441928,0,3
1594443866,1,4
1594445801,2,3
1594447696,2,2
1594449612,1,2
1594451667,2,3
1594453715,3,1
1594455607,0,1
1594457546,2,2
1594459480,4,1
1594462573,1,0
1594464523,0,1
1594466413,3,1
1594468348,1,2
1594470290,2,0
1594472175,0,1
1594474091,2,1
1594476156,3,2
1594479904,3,0
1594482308,3,2
1594484177,1,0
1594486115,3,0
1594488046,0,2
1594491882,0,1
1594493772,1,2
1594495691,1,1
1594498569,0,1
1594500525,1,0
1594502412,0,3
1594506282,1,2
1594510092,0,1
1594512149,0,1
1594513973,1,1
1594516812,2,1
1594518730,0,1
1594520702,3,2
1594526598,0,1
1594528607,5,0
1594530503,0,1
1594532440,0,1
1594534338,0,2
1594536268,0,1
1594538465,1,3
1594540332,1,3
1594542256,1,0
1594544212,0,2
1594546091,0,4
1594548972,2,0
1594551133,4,0
1594553057,1,3
1594555067,0,1
1594556892,1,2
1594559769,1,0
1594561691,0,4
1594563657,1,1
1594565544,1,1
1594567483,0,4
1594569374,0,2
1594571298,4,1
1594573360,2,4
1594575403,3,0
1594577291,1,0
1594579212,2,0
1594581156,0,2
1594583048,1,0
1594584968,1,1
1594586916,1,1
1594588807,1,0
1594592675,1,1
1594594565,2,0
1594596842,1,0
1594600568,1,2
1594602600,1,1
1594604410,1,0
1594606331,0,2
1594608298,0,1
1594614038,0,6
1594615930,1,0
1594617851,1,0
