DateTime,AddedIPs,RemovedIPs
1594252617,4,3
1594254511,4,2
1594257371,6,6
1594259565,5,5
1594261453,5,6
1594263373,6,4
1594265286,7,2
1594268174,5,5
1594270087,4,5
1594272041,4,7
1594273932,6,5
1594275857,8,3
1594277819,6,4
1594279690,9,2
1594281691,6,10
1594283556,7,2
1594285471,10,3
1594287372,5,5
1594289327,8,2
1594291215,3,7
1594293138,6,3
1594295052,3,12
1594296976,5,7
1594298919,9,4
1594300807,7,4
1594302730,7,5
1594304680,1,2
1594306569,4,11
1594308512,7,5
1594310435,3,9
1594312404,9,7
1594314593,4,4
1594316433,2,2
1594318589,4,6
1594320487,8,5
1594322417,6,3
1594324336,3,4
1594326281,3,4
1594328167,3,3
1594330086,5,4
1594332050,5,7
1594333929,5,5
1594335850,6,51
1594337803,14,5
1594339776,2,5
1594341643,4,2
1594343530,6,4
1594345478,4,6
1594347401,4,5
1594349319,7,6
1594351209,4,9
1594353131,7,2
1594355083,4,4
1594356974,4,4
1594358887,3,0
1594360877,2,8
1594362798,5,7
1594365177,6,10
1594367058,3,9
1594368980,4,4
1594370928,4,4
1594372808,7,12
1594374768,6,6
1594376655,3,4
1594378569,2,4
1594380525,5,4
1594382437,6,3
1594384334,7,7
1594386548,3,7
1594388415,7,8
1594390335,5,4
1594392284,9,4
1594394180,5,5
1594396336,10,10
1594398252,1,4
1594400202,3,8
1594402087,8,4
1594404035,3,2
1594405957,2,8
1594407861,7,5
1594409772,2,7
1594411735,2,4
1594413613,3,5
1594415558,4,3
1594417454,1,8
1594419369,1,5
1594421294,3,3
1594423209,3,8
1594425164,4,12
1594427053,7,5
1594428998,2,7
1594430886,5,4
1594433772,6,9
1594435722,10,9
1594437608,3,5
1594439527,4,6
1594441479,4,5
1594443367,2,7
1594445287,8,5
1594447254,5,4
1594449131,7,5
1594451056,1,6
1594453001,6,6
1594454891,5,2
1594456814,5,5
1594458765,7,7
1594460651,5,3
1594462572,2,5
1594464522,4,3
1594466412,6,6
1594468345,4,8
1594470289,8,7
1594472174,3,3
1594474090,10,4
1594476088,7,8
1594477960,0,7
1594479883,6,8
1594482307,4,10
1594484176,10,2
1594486114,6,2
1594488043,1,7
1594489938,2,2
1594491881,6,2
1594493771,9,7
1594495690,4,2
1594498568,6,5
1594500524,3,4
1594502411,3,3
1594504345,3,2
1594506281,3,3
1594508174,4,5
1594510091,2,4
1594512093,5,5
1594513947,5,3
1594516811,4,6
1594518730,7,5
1594520681,9,10
1594522573,5,3
1594524487,2,3
1594526558,3,2
1594528606,9,4
1594530503,6,4
1594532439,5,5
1594534337,1,6
