DateTime,Entries,UniqueIPs
1594252382,4526,4526
1594254279,4491,4491
1594256168,4477,4477
1594258086,4459,4459
1594260084,4444,4444
1594261937,4436,4436
1594264129,4428,4428
1594266009,4416,4416
1594267931,4389,4389
1594269883,4370,4370
1594271810,4337,4337
1594273946,4299,4299
1594275860,4266,4266
1594277866,4158,4158
1594279693,4134,4134
1594281792,4068,4068
1594283769,4014,4014
1594285721,3976,3976
1594287620,3928,3928
1594289531,3881,3881
1594291487,3829,3829
1594293444,3844,3844
1594295364,5230,5230
1594297208,8586,8586
1594299132,8538,8538
1594301077,8468,8468
1594302969,8349,8349
1594304887,8268,8268
1594307806,8164,8164
1594309694,8091,8091
1594311620,8027,8027
1594313863,7949,7949
1594315717,7890,7890
1594317708,7832,7832
1594319647,7779,7779
1594321516,7733,7733
1594323398,7671,7671
1594325306,7616,7616
1594327217,7564,7564
1594329159,7516,7516
1594331052,7459,7459
1594332980,7411,7411
1594334920,7348,7348
1594336812,7286,7286
1594338757,7227,7227
1594340670,7183,7183
1594342581,7134,7134
1594344490,7085,7085
1594346482,7055,7055
1594348426,7010,7010
1594350500,6969,6969
1594352426,6931,6931
1594354365,6893,6893
1594356260,6842,6842
1594358184,6801,6801
1594360120,6780,6780
1594362028,6759,6759
1594363930,6733,6733
1594365882,6711,6711
1594367776,6714,6714
1594369691,6712,6712
1594372605,6713,6713
1594374513,6725,6725
1594376408,6727,6727
1594378363,6651,6651
1594380251,6651,6651
1594382173,5755,5755
1594384118,1578,1578
1594386977,1584,1584
1594388890,1577,1577
1594390840,1582,1582
1594392747,1590,1590
1594394656,1596,1596
1594396625,1593,1593
1594398485,1599,1599
1594401375,1601,1601
1594403293,1608,1608
1594405238,1600,1600
1594407152,1595,1595
1594409051,1596,1596
1594410997,1595,1595
1594412886,1609,1609
1594415778,1615,1615
1594417688,1595,1595
1594419610,1609,1609
1594421527,1615,1615
1594423451,1617,1617
1594425394,1630,1630
1594427313,1630,1630
1594429278,1623,1623
1594431157,1627,1627
1594433107,1631,1631
1594434995,1628,1628
1594436894,1614,1614
1594438828,1602,1602
1594440764,1601,1601
1594442653,1612,1612
1594444577,1617,1617
1594446519,1609,1609
1594448410,1612,1612
1594450344,1615,1615
1594452282,1623,1623
1594454166,1624,1624
1594456328,1625,1625
1594458280,1628,1628
1594460198,1625,1625
1594462105,1622,1622
1594464013,1625,1625
1594465968,1625,1625
1594467855,1630,1630
1594469772,1634,1634
1594471725,1636,1636
1594473612,1639,1639
1594475532,1654,1654
1594477488,1653,1653
1594479372,1644,1644
1594481315,1647,1647
1594483284,1658,1658
1594485133,1654,1654
1594487304,1639,1639
1594489212,1647,1647
1594491158,1645,1645
1594493098,1645,1645
1594494969,1639,1639
1594496916,1638,1638
1594498809,1635,1635
1594500737,1614,1614
1594502682,1613,1613
1594504646,1610,1610
1594506510,1645,1645
1594508464,1651,1651
1594510330,1657,1657
1594512181,1642,1642
1594514205,1629,1629
1594516092,1627,1627
1594518006,1623,1623
1594519960,1618,1618
1594521853,1619,1619
1594523778,1622,1622
1594525718,1621,1621
1594527609,1616,1616
1594529529,1618,1618
1594531455,1609,1609
1594533368,1627,1627
1594535316,1866,1866
1594538467,2691,2691
1594540333,2691,2691
1594542259,2688,2688
1594544214,2685,2685
1594546094,2688,2688
1594548974,2728,2728
1594551135,2731,2731
1594553059,2730,2730
1594555070,2735,2735
1594556894,2745,2745
1594559771,2736,2736
1594561693,2740,2740
1594563659,2735,2735
1594565547,2733,2733
1594567487,2722,2722
1594569376,2716,2716
1594571329,2708,2708
1594573481,2718,2718
1594575404,2709,2709
1594577293,2717,2717
1594579214,2732,2732
1594581158,2746,2746
1594583049,2752,2752
1594584970,2751,2751
1594586918,2744,2744
1594588809,2744,2744
1594590737,2818,2818
1594592677,2810,2810
1594594567,2796,2796
1594596844,2798,2798
1594598681,2797,2797
1594600570,2817,2817
1594602603,2837,2837
1594604412,2840,2840
1594606333,2837,2837
1594608299,2840,2840
1594610174,2837,2837
1594612089,2847,2847
1594614040,2855,2855
1594615932,2862,2862
1594617869,2865,2865
1594619812,2877,2877
1594621694,2681,2681
1594623738,1804,1804
1594625797,1818,1818
1594627709,1822,1822
1594629610,1822,1822
1594631559,1812,1812
1594633451,1828,1828
1594635370,1840,1840
1594637315,1856,1856
1594639207,1858,1858
1594641132,1848,1848
1594643079,1840,1840
1594644969,1850,1850
1594646887,1856,1856
1594649770,1801,1801
1594651720,1806,1806
1594653612,2053,2053
1594655555,2081,2081
1594657452,2100,2100
1594659369,2101,2101
1594661285,2115,2115
1594664178,2132,2132
1594666092,2115,2115
1594668038,2112,2112
