DateTime,AddedIPs,RemovedIPs
1594256170,78,85
1594258087,63,82
1594261002,86,105
1594262892,70,79
1594264839,65,82
1594266736,64,76
1594268654,58,80
1594270626,64,79
1594272508,29,75
1594275391,63,110
1594277397,38,149
1594279238,38,57
1594281159,20,71
1594283051,19,70
1594284994,23,71
1594286889,23,55
1594288838,19,71
1594290763,31,69
1594292657,94,76
1594294664,21,74
1594296588,1472,63
1594298411,3393,78
1594300360,17,67
1594302274,14,127
1594304173,15,99
1594306114,13,87
1594308257,13,95
1594310168,14,89
1594312117,19,81
1594314596,27,111
1594316435,12,72
1594318592,27,89
1594320489,28,79
1594322421,21,73
1594324338,13,69
1594326283,18,78
1594328191,17,66
1594330089,27,77
1594332092,32,86
1594333931,17,64
1594335852,15,72
1594337806,23,80
1594339778,17,79
1594341645,25,69
1594343532,20,83
1594345481,25,59
1594347457,23,70
1594349322,34,70
1594351212,21,60
1594353134,22,60
1594355085,20,64
1594356977,21,76
1594358890,17,40
1594360989,27,49
1594362800,15,33
1594365179,21,52
1594367060,18,23
1594368982,18,9
1594370931,22,27
1594372810,24,24
1594374770,31,18
1594376657,19,28
1594378571,22,104
1594380527,17,19
1594383609,26,5099
1594385578,14,19
1594387450,26,18
1594389404,6,19
1594391287,24,13
1594393325,23,14
1594395173,20,13
1594397334,20,22
1594399219,30,18
1594401135,17,22
1594403080,18,10
1594404971,18,23
1594406902,34,24
1594408840,27,24
1594410737,23,15
1594412654,28,19
1594414639,35,21
1594416488,18,26
1594418467,26,33
1594420329,24,20
1594422301,25,18
1594424171,19,22
1594426131,30,19
1594428014,23,28
1594429929,21,20
1594431877,24,23
1594433775,31,25
1594435724,19,34
1594437610,16,23
1594439529,24,27
1594441481,27,24
1594443369,15,18
1594445291,29,19
1594447342,11,26
1594449408,20,172
1594451293,173,14
1594453212,15,16
1594455160,23,20
1594457050,23,24
1594458967,19,19
1594460917,25,26
1594462806,19,22
1594464755,32,29
1594466681,29,13
1594468569,22,17
1594470760,22,16
1594472674,26,15
1594474601,16,18
1594476497,19,16
1594478412,19,19
1594480391,22,25
1594482310,19,14
1594484179,24,22
1594486117,14,26
1594488047,20,14
1594489941,18,21
1594491884,16,21
1594493774,21,32
1594495692,21,30
1594497710,20,27
1594499535,16,39
1594501500,16,23
1594503401,14,15
1594505293,62,27
1594507215,25,23
1594509163,33,19
1594511060,23,29
1594512988,21,28
1594514932,16,23
1594516814,21,25
1594518732,24,25
1594520707,21,28
1594522576,27,21
1594524490,19,16
1594526640,24,27
1594528609,24,26
1594530505,15,18
1594532441,26,25
1594534340,17,14
1594536270,1091,25
1594538467,21,19
1594540334,18,17
1594542259,24,22
1594544214,20,28
1594546094,21,18
1594548084,67,25
1594549963,23,24
1594551858,25,24
1594553772,20,30
1594555729,34,18
1594557612,32,23
1594559534,10,22
1594561493,22,21
1594563398,18,19
