DateTime,AddedIPs,RemovedIPs
1593942758,1,0
1593946569,1,1
1593950526,1,0
1593952456,3,0
1593954269,1,2
1593958122,1,0
1593960017,0,1
1593961935,1,0
1593965778,0,1
1593969719,2,0
1593973456,1,0
1593975410,3,0
1593977290,2,0
1593982330,1,0
1593984251,1,1
1593986201,1,0
1593991226,2,2
1593993150,1,0
1593995081,5,1
1593998886,4,1
1594000924,1,0
1594002734,2,0
1594004561,0,1
1594006598,2,0
1594008578,1,0
1594010453,2,0
1594012345,1,1
1594014288,1,0
1594016189,0,1
1594018095,2,0
1594021934,1,1
1594023857,1,0
1594027714,1,0
1594031099,2,1
1594032967,0,1
1594038015,2,3
1594039935,1,2
1594041915,1,0
1594043772,1,1
1594045714,1,0
1594047707,1,1
1594049536,1,0
1594055299,1,2
1594061059,1,4
1594062998,1,2
1594066810,1,0
1594068734,0,1
1594070679,0,2
1594072589,2,1
1594076613,1,2
1594078600,1,0
1594080745,2,5
1594082653,0,1
1594084594,0,2
1594086499,0,3
1594088437,1,1
1594090342,3,0
1594092251,1,1
1594094193,0,1
1594096105,3,1
1594098082,3,2
1594099956,1,2
1594101920,1,0
1594103772,0,2
1594107634,0,1
1594111482,1,1
1594113385,4,0
1594115289,0,1
1594117239,4,1
1594120151,3,0
1594122015,1,1
1594123968,2,1
1594125873,1,1
1594127852,0,2
1594129699,1,1
1594131677,0,1
1594133535,1,0
1594135457,1,1
1594139347,0,1
1594141376,0,1
1594145096,3,0
1594146988,1,1
1594148978,0,1
1594160443,1,2
1594162405,2,1
1594164277,0,1
1594166211,1,1
1594168140,1,1
1594173488,4,0
1594175550,2,0
1594177722,2,3
1594181671,1,1
1594183475,0,2
1594185376,2,1
1594187327,0,2
1594189215,0,1
1594191224,2,0
1594193252,2,1
1594198361,1,2
1594200251,2,3
1594202200,0,1
1594204090,1,4
1594206140,1,2
1594208208,0,1
1594210097,0,1
1594212012,5,1
1594213990,1,1
1594215851,0,1
1594217772,1,0
1594219744,0,1
1594223551,1,1
1594229562,1,0
1594231539,0,3
1594233427,2,1
1594235381,0,1
1594237248,1,0
1594239141,2,0
1594241059,0,1
1594244891,1,0
1594246846,0,1
1594248736,0,1
1594252641,1,2
1594254515,0,1
1594256538,2,0
1594258598,0,3
1594260493,0,2
1594262461,0,1
1594264608,2,2
1594266739,2,2
1594268658,1,0
1594270630,1,2
1594272512,1,1
1594275392,1,0
1594277399,3,1
1594279239,0,1
1594283052,2,1
1594284995,1,1
1594286891,1,1
1594288873,3,0
1594290765,0,2
1594292660,1,1
