DateTime,AddedIPs,RemovedIPs
1594216584,3,3
1594218493,3,5
1594221373,0,1
1594223325,0,1
1594225213,2,1
1594227129,1,1
1594229102,0,4
1594230976,2,2
1594232891,2,1
1594236086,1,1
1594237966,4,2
1594239854,2,2
1594241769,3,1
1594243688,1,3
1594246568,4,4
1594248488,2,2
1594250441,1,1
1594252385,1,2
1594254281,1,5
1594256173,2,4
1594258090,5,2
1594261216,2,3
1594263160,0,2
1594265052,3,6
1594266995,2,2
1594268889,1,2
1594271814,3,3
1594274003,0,3
1594275861,1,3
1594277874,2,1
1594279695,1,0
1594281822,0,2
1594283771,5,1
1594285724,1,7
1594287623,1,2
1594289534,3,1
1594291490,2,2
1594293462,4,5
1594295420,4,2
1594297487,3,1
1594299384,3,1
1594301286,1,1
1594303293,1,3
1594305127,1,3
1594307015,2,0
1594311158,1,2
1594313054,2,0
1594315016,1,1
1594316899,2,2
1594318847,2,0
1594320730,0,3
1594322679,1,2
1594324569,2,3
1594326486,0,1
1594329378,3,3
1594331318,1,3
1594333210,4,2
1594335162,1,2
1594337082,3,2
1594338991,5,0
1594340916,2,1
1594342899,1,3
1594344760,0,5
1594348594,2,1
1594350502,2,3
1594352430,2,1
1594354366,1,1
1594356263,1,3
1594358186,1,1
1594360122,2,0
1594362032,0,1
1594363932,0,1
1594365886,2,2
1594367803,1,0
1594369695,4,5
1594371744,1,1
1594374048,4,1
1594375944,1,3
1594377856,4,2
1594379800,3,4
1594381686,1,4
1594383612,0,3
1594385581,1,2
1594387453,2,2
1594389406,1,1
1594391288,1,1
1594393369,1,2
1594395174,1,0
1594397335,1,1
1594399221,1,2
1594401138,0,1
1594403082,1,2
1594404973,1,2
1594408841,1,0
1594410739,3,3
1594414640,3,3
1594416489,2,1
1594418499,2,3
1594420331,0,1
1594422305,2,2
1594424173,2,2
1594426133,5,5
1594428016,2,2
1594429931,0,1
1594431880,3,0
1594433777,1,2
1594435726,2,1
1594437611,2,2
1594439530,3,1
1594441482,4,1
1594443417,1,1
1594445293,2,3
1594449412,4,0
1594451295,6,2
1594453213,1,0
1594455161,1,4
1594457051,3,1
1594458968,2,2
1594460918,0,3
1594462808,1,2
1594464757,2,3
1594466682,2,4
1594468570,5,0
1594470763,2,1
1594472696,1,1
1594474602,6,1
1594476500,1,1
1594478414,1,1
1594480394,3,2
1594482313,2,1
1594484181,1,0
1594486119,5,1
1594488051,2,0
1594489943,2,1
1594491887,2,1
1594493776,3,0
1594495695,0,4
1594497852,1,0
1594499799,3,1
1594501696,1,2
1594503613,2,3
1594505562,4,1
1594507474,3,1
1594509370,3,1
1594511329,1,5
1594513215,1,1
1594515142,1,2
1594517085,5,1
1594518972,3,3
1594520938,4,2
1594523009,1,1
1594524999,2,2
1594526914,1,5
1594528812,3,1
1594531009,2,2
1594532915,3,1
1594534811,5,2
1594536788,2,3
1594538653,3,4
1594540597,1,2
1594542488,2,2
1594545372,4,3
1594547314,1,1
1594549239,1,1
1594551138,1,2
1594553062,1,2
1594555074,1,5
1594556897,1,1
1594559774,4,5
1594561699,2,3
1594563662,2,0
1594565551,2,1
1594567492,4,6
1594569381,3,1
1594571333,0,3
1594573511,0,5
1594575410,0,1
1594577297,3,3
1594579222,2,2
1594581163,1,1
1594583067,1,1
1594586922,1,1
1594588830,0,2
1594590768,2,2
1594592694,4,4
1594594572,2,2
1594596863,1,5
1594598685,1,0
1594600575,2,2
1594602606,3,4
1594604416,2,2
1594606336,0,6
1594608315,4,1
1594610178,2,0
1594612095,2,2
1594614044,1,2
1594615946,2,3
1594617877,0,4
1594619816,1,1
1594621699,2,2
1594623872,1,3
1594625807,3,2
1594627714,2,1
1594629616,3,2
1594631563,3,4
1594633456,1,0
1594635376,2,2
1594637347,1,1
1594641137,2,2
1594643083,2,1
1594645000,2,4
1594646891,1,0
1594649036,5,1
1594651044,0,3
1594652908,1,3
1594654845,1,4
1594656738,0,3
1594658657,2,0
1594662492,2,0
1594664437,1,3
1594666333,1,2
1594668255,1,1
1594671161,1,1
1594673082,1,1
1594675001,1,0
1594676902,0,2
1594678817,0,3
1594680765,0,2
1594682681,0,2
1594684577,2,1
1594686517,2,2
1594688532,0,4
1594690356,1,1
1594692299,3,1
1594694200,1,2
1594696733,2,4
1594698765,0,2
1594700672,1,2
1594702600,5,1
1594704493,1,0
1594706592,2,1
1594708500,1,1
1594710525,1,2
1594712588,1,2
1594714599,4,2
1594716528,2,3
1594718417,1,3
1594720336,1,1
1594722588,2,3
1594727586,2,3
1594729494,1,0
1594731485,2,2
1594736179,5,6
1594738150,2,1
1594740012,2,1
1594741932,0,1
1594743882,0,2
1594745774,3,1
1594747690,2,1
