DateTime,Entries,UniqueIPs
1594216584,98,98
1594218493,96,96
1594221373,95,95
1594223325,94,94
1594225213,95,95
1594227129,95,95
1594229102,91,91
1594230976,91,91
1594232891,92,92
1594236086,92,92
1594237966,94,94
1594239854,94,94
1594241769,96,96
1594243688,94,94
1594246568,94,94
1594248488,94,94
1594250441,94,94
1594252385,93,93
1594254281,89,89
1594256173,87,87
1594258090,90,90
1594261216,89,89
1594263160,87,87
1594265052,84,84
1594266995,84,84
1594268889,83,83
1594271814,83,83
1594274003,80,80
1594275861,78,78
1594277874,79,79
1594279695,80,80
1594281822,78,78
1594283771,82,82
1594285724,76,76
1594287623,75,75
1594289534,77,77
1594291490,77,77
1594293462,76,76
1594295420,78,78
1594297487,80,80
1594299384,82,82
1594301286,82,82
1594303293,80,80
1594305127,78,78
1594307015,80,80
1594311158,79,79
1594313054,81,81
1594315016,81,81
1594316899,81,81
1594318847,83,83
1594320730,80,80
1594322679,79,79
1594324569,78,78
1594326486,77,77
1594329378,77,77
1594331318,75,75
1594333210,77,77
1594335162,76,76
1594337082,77,77
1594338991,82,82
1594340916,83,83
1594342899,81,81
1594344760,76,76
1594348594,77,77
1594350502,76,76
1594352430,77,77
1594354366,77,77
1594356263,75,75
1594358186,75,75
1594360122,77,77
1594362032,76,76
1594363932,75,75
1594365886,75,75
1594367803,76,76
1594369695,75,75
1594371744,75,75
1594374048,78,78
1594375944,76,76
1594377856,78,78
1594379800,77,77
1594381686,74,74
1594383612,71,71
1594385581,70,70
1594387453,70,70
1594389406,70,70
1594391288,70,70
1594393369,69,69
1594395174,70,70
1594397335,70,70
1594399221,69,69
1594401138,68,68
1594403082,67,67
1594404973,66,66
1594408841,67,67
1594410739,67,67
1594414640,67,67
1594416489,68,68
1594418499,67,67
1594420331,66,66
1594422305,66,66
1594424173,66,66
1594426133,66,66
1594428016,66,66
1594429931,65,65
1594431880,68,68
1594433777,67,67
1594435726,68,68
1594437611,68,68
1594439530,70,70
1594441482,73,73
1594443417,73,73
1594445293,72,72
1594449412,76,76
1594451295,80,80
1594453213,81,81
1594455161,78,78
1594457051,80,80
1594458968,80,80
1594460918,77,77
