DateTime,AddedIPs,RemovedIPs
1594126381,29,0
1594128258,1,0
1594130181,0,1
1594134194,0,1
1594136169,0,1
1594138028,0,1
1594141938,1,1
1594143880,1,0
1594147714,2,1
1594149612,0,1
1594151718,0,1
1594153771,1,1
1594157772,0,1
1594159749,1,2
1594163532,3,1
1594165596,5,0
1594167652,2,0
1594169670,1,3
1594171767,0,1
1594174004,3,0
1594175816,2,2
1594179647,0,1
1594187533,1,1
1594189485,0,1
1594193269,0,1
1594197369,1,0
1594199328,1,0
1594203134,1,3
1594205087,0,1
1594206970,0,5
1594208919,1,1
1594212749,0,36
1594214684,3,2
1594216600,4,0
1594218503,1,0
1594220496,3,0
1594224499,0,2
1594226411,2,0
1594228363,2,2
1594230250,0,2
1594232172,0,1
1594234132,2,2
1594237968,0,1
1594239855,1,0
1594241770,2,0
1594243690,0,1
1594246580,2,3
1594248490,2,0
1594250442,3,2
1594252387,0,1
1594254282,1,0
1594256183,2,1
1594258091,1,3
1594260147,0,3
1594262197,2,3
1594269887,0,1
1594271815,0,2
1594274006,0,1
1594275863,1,0
1594281827,2,0
1594285725,1,1
1594289535,3,1
1594291492,3,0
1594293480,2,1
1594295436,3,2
1594297488,1,0
1594299405,3,0
1594301287,1,5
1594303380,1,4
1594305442,1,1
1594307365,2,1
1594309251,2,1
1594311159,0,1
1594313055,2,1
1594315017,4,2
1594316900,2,0
1594318848,1,0
1594320731,0,1
1594326487,3,0
1594328456,1,2
1594330343,0,2
1594333211,2,2
1594335187,1,4
1594337084,1,3
1594338992,3,0
1594340917,0,2
1594342957,1,1
1594344761,1,1
1594348595,1,1
1594350503,2,0
1594352432,1,0
1594354368,0,2
1594356265,0,1
1594362033,2,1
1594363934,1,0
1594365887,1,0
1594367806,3,2
1594369706,2,0
1594371788,0,2
1594375945,0,3
1594377858,1,3
1594379801,1,3
1594381688,0,3
1594383614,1,2
1594385582,6,2
1594387454,1,2
1594389423,3,1
1594391290,1,2
1594393418,0,1
1594395368,1,4
1594397337,2,0
1594399234,2,1
1594401139,0,4
1594403084,1,2
1594404975,3,0
1594408842,1,0
1594410740,1,0
1594412665,0,2
1594414642,5,2
1594416491,1,0
1594418560,0,1
1594420571,1,2
1594422497,2,2
1594424440,0,1
1594426583,2,1
1594428495,3,2
1594430441,2,1
1594432333,0,1
1594434286,2,0
1594436203,1,2
1594438137,1,2
1594441211,1,2
1594443155,1,0
1594445096,1,0
1594446977,1,1
1594449140,1,1
1594451073,1,1
1594453011,0,3
1594454896,1,1
1594456819,0,2
1594458769,1,1
1594462577,3,1
1594464528,3,2
1594466417,0,1
1594470293,2,4
1594472179,0,1
1594474095,0,2
1594476266,2,1
1594478224,1,0
1594480141,2,0
1594482315,0,1
1594486121,0,1
1594488054,0,3
1594489945,2,1
1594491889,2,2
1594493778,0,1
1594495697,1,0
1594497857,1,2
1594499800,3,1
1594501698,3,3
1594503615,4,0
1594507475,1,1
1594509372,6,3
1594511351,2,0
1594513218,0,2
1594515144,0,2
1594517086,1,1
1594520939,3,1
1594523094,1,0
1594525001,0,1
1594526916,1,0
1594528814,0,1
1594531018,0,1
1594532917,0,1
1594534814,1,2
1594538655,1,0
1594540599,1,0
1594542490,18,0
1594544497,2,0
1594546432,1,1
1594548279,0,1
1594552122,5,2
1594554012,3,1
1594555933,1,1
1594557896,1,0
1594559776,8,0
1594561700,3,0
1594563663,1,0
1594565563,2,0
1594567493,1,1
1594569382,1,0
1594573515,2,0
1594575411,4,0
1594577297,1,1
1594579223,0,1
1594581164,1,1
1594584976,2,3
1594586923,1,1
1594588831,1,1
1594590769,2,0
1594592695,1,0
1594594573,0,4
1594596864,4,2
1594598687,2,0
1594600576,1,1
1594602608,19,0
1594604418,1,1
1594606337,1,1
1594608317,1,3
1594610179,1,0
1594612096,1,0
1594614045,1,1
1594615947,1,0
1594617878,2,0
1594621700,1,1
1594623874,0,1
1594625808,1,1
1594627715,1,1
1594629618,1,17
1594631564,3,4
1594633457,0,1
1594635377,1,0
1594637348,3,0
1594639213,0,2
1594641164,2,1
1594643084,0,2
1594645002,1,2
1594646893,1,3
1594649078,0,6
1594651046,1,3
1594652910,1,1
1594654855,1,2
1594656741,1,2
1594658658,1,0
1594660584,1,2
1594662494,0,2
1594664440,1,1
1594666336,0,1
1594668257,3,0
1594670211,1,9
1594672087,0,4
1594675003,2,0
1594676905,3,1
1594678821,2,3
1594680767,1,1
1594682683,2,3
1594684578,0,3
1594686519,1,2
1594688602,1,20
1594690575,1,2
1594692779,3,1
1594694656,1,1
1594696735,0,1
1594698766,1,1
1594700675,73,1
1594702601,1,4
1594706630,0,1
1594708501,0,1
1594710527,1,1
1594712591,1,0
1594714601,0,1
1594716530,0,5
1594718420,3,1
