DateTime,AddedIPs,RemovedIPs
1594264155,54,28
1594266015,20,41
1594267941,56,14
1594269889,51,21
1594271817,45,19
1594274020,54,26
1594275895,27,16
1594277878,48,8
1594279698,26,5
1594281830,33,21
1594283778,32,7
1594285731,62,32
1594287630,54,4
1594289539,27,14
1594291495,29,18
1594293559,45,15
1594295443,36,7
1594297490,53,18
1594299407,41,20
1594301292,33,32
1594303521,41,31
1594305446,31,29
1594307369,36,17
1594309256,46,19
1594311162,26,35
1594313062,40,32
1594315019,33,33
1594316902,37,48
1594318854,48,41
1594320736,49,42
1594322683,47,35
1594324606,38,38
1594326490,65,59
1594328508,38,28
1594330344,51,27
1594333213,76,30
1594335189,47,77
1594337088,35,88
1594338995,27,23
1594340921,40,28
1594343053,54,52
1594344974,50,62
1594346923,38,33
1594348818,42,33
1594350762,30,39
1594352683,54,18
1594354572,26,66
1594356528,33,40
1594358438,30,44
1594360335,23,44
1594362287,51,39
1594364231,55,46
1594366093,30,25
1594368255,17,33
1594370225,24,32
1594372194,35,56
1594374056,36,52
1594375950,48,29
1594377860,42,30
1594379803,29,39
1594381690,34,37
1594383616,30,43
1594385587,55,52
1594387459,30,28
1594389426,28,45
1594391294,28,22
1594393460,29,25
1594395375,28,49
1594397340,39,43
1594399239,43,34
1594401144,30,28
1594403089,37,37
1594404980,32,45
1594406921,52,50
1594408845,47,42
1594410743,41,37
1594412670,27,69
1594414645,42,42
1594416494,39,50
1594418675,31,42
1594420574,35,50
1594422528,31,57
1594424445,26,23
1594426586,46,33
1594428498,20,42
1594430444,36,63
1594432338,40,42
1594434290,44,30
1594436205,29,45
1594438149,47,42
1594440192,169,42
1594442196,29,33
1594444103,34,41
1594446017,30,13
1594447966,23,45
1594449861,26,39
1594451699,38,45
1594453719,34,31
1594455614,19,19
1594457598,37,33
1594459486,32,39
1594461887,25,49
1594463804,35,39
1594465694,35,50
1594467611,48,29
1594469586,35,32
1594471458,52,41
1594473378,44,30
1594475325,35,42
1594477213,30,16
1594479170,35,48
1594481086,19,26
1594482971,14,29
1594484912,33,31
1594487007,8,46
1594489009,22,26
1594490903,17,43
1594492846,26,60
1594494764,11,48
1594496662,28,33
1594498573,38,28
1594500559,17,46
1594502419,29,30
1594504352,24,35
1594506288,19,31
1594508179,36,38
1594510096,33,20
1594512220,35,33
1594514208,18,35
1594516098,23,42
1594518011,14,36
1594519964,15,33
1594521860,17,20
1594523784,11,51
1594525722,23,158
1594527632,16,48
1594529534,38,25
1594531472,11,42
1594533383,16,20
1594535324,19,27
1594538471,42,51
1594540337,5,33
1594542264,11,25
1594544234,15,30
1594546099,6,28
1594548288,26,25
1594550186,21,34
1594552123,28,35
1594554013,15,48
1594555936,17,31
1594557899,16,53
1594559779,14,41
1594561703,11,35
1594563666,18,29
1594565591,8,32
1594567495,18,21
1594569386,25,13
1594571336,15,33
1594573518,18,9
1594575440,27,22
1594577300,11,16
1594579226,20,20
1594581165,11,8
1594583069,18,28
