DateTime,AddedIPs,RemovedIPs
1594262897,42,42
1594264845,43,19
1594266743,37,20
1594268664,24,108
1594270633,46,95
1594272515,24,28
1594274663,25,38
1594276820,35,45
1594278739,23,29
1594280682,29,36
1594282654,41,44
1594284501,39,21
1594286508,47,40
1594288340,19,29
1594290258,29,35
1594292251,40,40
1594294098,40,41
1594296192,35,48
1594298200,19,45
1594300111,36,54
1594302024,30,19
1594303960,38,23
1594305886,29,50
1594307834,21,34
1594309698,15,31
1594311633,23,25
1594313867,44,35
1594315720,38,28
1594317861,37,46
1594319776,32,40
1594321968,55,40
1594323855,44,22
1594325801,33,24
1594327716,49,25
1594329632,35,25
1594331576,35,35
1594333483,25,33
1594335425,50,20
1594337317,40,17
1594339427,46,21
1594341370,42,25
1594343326,38,28
1594345228,19,26
1594347135,27,26
1594349056,37,37
1594350973,28,37
1594352940,23,27
1594354812,19,22
1594356788,42,38
1594358715,52,199
1594360575,27,21
1594362490,24,31
1594364716,32,30
1594366609,53,26
1594368500,54,37
1594370419,45,38
1594372611,35,46
1594374519,32,29
1594376412,41,24
1594378378,31,39
1594380254,29,42
1594382179,46,32
1594384122,42,25
1594387250,79,58
1594389164,21,26
1594391058,18,33
1594393064,27,32
1594394917,39,18
1594396986,29,19
1594398970,36,32
1594400919,45,37
1594402811,31,40
1594404734,29,26
1594406682,29,38
1594408570,30,48
1594410489,34,39
1594412440,55,36
1594414375,45,37
1594416293,42,36
1594418175,38,39
1594420123,38,25
1594422998,50,69
1594424890,40,41
1594426845,45,36
1594428763,57,44
1594430656,25,27
1594432624,35,17
1594434741,45,43
1594436678,28,37
1594438649,35,26
1594440503,30,15
1594442419,40,38
1594444367,30,48
1594446261,29,38
1594448212,36,23
1594450134,25,28
1594452024,34,33
1594453949,25,49
1594455887,27,47
1594457807,39,46
1594459694,39,29
1594461927,38,41
1594463806,31,35
1594465695,31,35
1594467613,37,37
1594469588,26,51
1594471460,32,36
1594473380,30,43
1594475327,32,21
1594477215,32,15
1594479194,23,18
1594481088,12,45
1594482973,16,22
1594484913,25,33
1594487088,31,44
1594489011,39,32
1594490905,30,27
