DateTime,Entries,UniqueIPs
1594259084,7045,7045
1594261006,7032,7032
1594262897,7027,7027
1594264871,7005,7005
1594266743,7004,7004
1594268665,6960,6960
1594270634,6967,6967
1594272515,6949,6949
1594274673,6914,6914
1594276822,6890,6890
1594278739,6878,6878
1594280682,6869,6869
1594282656,6873,6873
1594284502,6866,6866
1594286510,6856,6856
1594288341,6831,6831
1594290259,6835,6835
1594292252,6812,6812
1594294100,6781,6781
1594296203,6749,6749
1594298200,6712,6712
1594300112,6718,6718
1594302026,6742,6742
1594303961,6729,6729
1594305888,6719,6719
1594307835,6692,6692
1594309698,6687,6687
1594311633,6673,6673
1594313867,6707,6707
1594315721,6725,6725
1594317872,6503,6503
1594319776,6534,6534
1594321968,6557,6557
1594323856,6548,6548
1594325803,6558,6558
1594327717,6579,6579
1594329632,6577,6577
1594331578,6588,6588
1594333484,6606,6606
1594335426,6616,6616
1594337317,6603,6603
1594339435,6606,6606
1594341371,6653,6653
1594343327,6652,6652
1594345228,6661,6661
1594347135,6640,6640
1594349058,6624,6624
1594350974,6615,6615
1594352940,6631,6631
1594354813,6663,6663
1594356790,6694,6694
1594358716,6713,6713
1594360576,6728,6728
1594362491,6744,6744
1594364738,6773,6773
1594366609,6778,6778
1594368500,6733,6733
1594370419,6736,6736
1594372611,6713,6713
1594374519,6710,6710
1594376414,6727,6727
1594378378,6771,6771
1594380255,6777,6777
1594382181,6778,6778
1594384123,6782,6782
1594386161,6759,6759
1594387966,6744,6744
1594389876,6741,6741
1594391772,6752,6752
1594393735,6750,6750
1594395613,6756,6756
1594397534,6757,6757
1594399481,6761,6761
1594401379,6765,6765
1594403299,6876,6876
1594405246,6862,6862
1594407155,6855,6855
1594409055,6884,6884
1594411021,7290,7290
1594412889,7615,7615
1594415783,8077,8077
1594417691,8444,8444
1594419617,8769,8769
1594421533,9208,9208
1594423456,9565,9565
1594425404,9911,9911
1594427323,10190,10190
1594429418,10181,10181
1594431401,10192,10192
1594433572,10205,10205
1594435458,10214,10214
1594437388,10190,10190
1594439322,10161,10161
1594441216,10135,10135
1594443178,10117,10117
1594445102,10117,10117
1594446982,10171,10171
1594449145,10552,10552
1594452025,11068,11068
1594453950,11149,11149
1594455887,11156,11156
1594457810,11154,11154
1594459694,11144,11144
1594461938,11149,11149
1594463806,11101,11101
1594465696,11096,11096
1594467613,11094,11094
1594469588,11109,11109
1594471461,11112,11112
1594473381,11115,11115
1594475327,11112,11112
1594477215,11124,11124
1594479196,11118,11118
1594481089,11104,11104
1594482974,11102,11102
1594484914,11102,11102
1594487098,11104,11104
1594489012,10981,10981
1594490906,10997,10997
1594492861,10987,10987
1594494766,10973,10973
1594496666,10976,10976
1594498575,10961,10961
1594500562,10952,10952
1594502431,10951,10951
1594504356,10944,10944
1594506290,10937,10937
1594508183,11045,11045
1594510098,11893,11893
1594512227,13025,13025
1594514211,14102,14102
1594516101,14898,14898
1594518013,15792,15792
1594519967,16375,16375
1594521864,16178,16178
1594523787,15983,15983
1594525725,15803,15803
1594527634,15608,15608
1594529537,15380,15380
1594531475,15177,15177
1594533386,14903,14903
1594535327,14710,14710
1594538473,14347,14347
1594540339,14304,14304
1594542268,14303,14303
1594544237,14310,14310
1594546103,14320,14320
1594548321,14342,14342
1594550189,14351,14351
1594552127,14362,14362
1594554018,14359,14359
1594555939,14340,14340
1594557903,14360,14360
1594559783,14364,14364
1594561708,14364,14364
1594563669,14351,14351
1594565594,14337,14337
1594567498,14332,14332
1594569390,14338,14338
1594571352,14432,14432
1594573525,14461,14461
1594575467,14474,14474
1594577304,14472,14472
1594579232,14482,14482
1594581169,14510,14510
1594583074,14591,14591
1594584980,14632,14632
1594586928,14624,14624
1594588836,14616,14616
1594590773,14623,14623
1594592700,14690,14690
1594594613,14721,14721
1594597980,14696,14696
1594599867,14627,14627
1594601780,14603,14603
1594603690,14574,14574
1594606575,14566,14566
1594608775,14570,14570
1594610700,14582,14582
1594612605,14590,14590
1594614496,14610,14610
1594616593,14620,14620
1594618574,14616,14616
1594620517,14614,14614
1594622413,14631,14631
1594624600,14657,14657
1594626554,14685,14685
1594628435,14691,14691
1594630354,14685,14685
1594632288,14695,14695
1594634171,14691,14691
1594636090,14694,14694
1594638240,14738,14738
1594640201,14719,14719
1594642095,14719,14719
1594644014,14723,14723
1594646189,14728,14728
1594648124,14748,14748
1594650020,14749,14749
1594651934,14776,14776
1594653865,14829,14829
1594655786,14824,14824
1594657738,14802,14802
1594659745,14806,14806
1594661568,14796,14796
1594663486,14802,14802
1594665390,14831,14831
1594667324,14852,14852
1594670223,14768,14768
1594672093,13582,13582
1594675010,11466,11466
1594676910,9898,9898
1594678826,8539,8539
1594680771,7149,7149
1594682688,6914,6914
1594684583,6883,6883
1594686523,6895,6895
1594688749,6895,6895
1594690581,6872,6872
1594692791,6884,6884
1594694661,6900,6900
1594696742,6856,6856
1594698771,6864,6864
1594700680,6812,6812
1594702606,6805,6805
1594704520,6796,6796
1594706646,6787,6787
1594708506,6713,6713
1594710532,6681,6681
1594712597,6654,6654
1594714607,6662,6662
1594716535,6661,6661
1594718425,6698,6698
