DateTime,AddedIPs,RemovedIPs
1594247566,3,2
1594249471,3,2
1594251375,4,2
1594253305,0,5
1594255223,1,3
1594257193,2,1
1594259085,4,5
1594261007,2,4
1594262898,4,3
1594264874,3,5
1594266743,4,1
1594268665,1,1
1594270634,1,4
1594272516,1,3
1594274681,4,1
1594276829,5,3
1594278740,2,2
1594280682,2,0
1594282657,4,0
1594284502,2,2
1594286513,5,6
1594288344,3,4
1594290261,3,2
1594292252,4,0
1594294102,3,2
1594296210,4,3
1594298200,0,2
1594300112,5,0
1594302028,1,6
1594303965,2,4
1594305894,2,4
1594307835,3,2
1594309699,5,2
1594311633,3,1
1594313868,1,2
1594315721,1,3
1594317881,2,2
1594319777,5,2
1594321969,4,6
1594323860,2,2
1594325804,1,1
1594327717,4,4
1594329633,1,3
1594331579,5,1
1594333488,2,3
1594335427,3,3
1594337317,1,4
1594339442,5,2
1594341374,5,1
1594343327,1,2
1594345229,1,4
1594347135,2,2
1594349060,2,3
1594350974,3,4
1594352941,1,4
1594354813,4,1
1594356791,2,0
1594358716,5,2
1594360580,1,4
1594362496,1,4
1594364749,0,3
1594366609,2,1
1594368500,1,3
1594370420,3,3
1594372612,0,6
1594374520,1,3
1594376415,2,3
1594378379,3,4
1594380255,1,3
1594382186,3,1
1594384123,3,3
1594386181,1,3
1594388173,0,3
1594390119,1,1
1594392071,0,3
1594394189,2,3
1594396367,1,5
1594398256,1,3
1594400215,4,1
1594402092,0,1
1594404189,1,2
1594406169,1,5
1594408121,1,4
1594410021,0,1
1594411931,3,2
1594413887,7,4
1594415783,2,1
1594417692,4,5
1594419617,3,2
1594421535,2,2
1594423458,1,2
1594425405,3,5
1594427324,3,4
1594429425,3,1
1594431402,2,2
1594433572,3,2
1594435459,1,2
1594437388,0,3
1594439323,3,1
1594441218,1,4
1594443178,1,2
1594445109,3,5
1594446983,1,1
1594449146,2,1
1594451092,2,0
1594453019,2,2
1594454898,3,1
1594456828,2,3
1594458771,3,0
1594460660,1,1
1594462580,3,2
1594464535,2,2
1594466420,5,2
1594468374,0,3
1594470296,7,3
1594472182,3,1
1594474097,2,0
1594476273,4,1
1594478226,3,0
1594480145,0,2
1594482319,5,1
1594484185,4,1
1594486124,4,2
1594488063,1,2
1594489947,4,1
1594491891,5,0
1594493784,3,2
1594495699,3,0
1594497861,1,3
1594499803,5,4
1594501700,1,5
1594503619,2,4
1594505575,4,1
1594507477,6,3
1594509373,2,2
1594511353,3,2
1594513222,0,3
1594515148,2,4
1594517090,1,1
1594519001,3,4
1594520941,2,1
1594523100,3,0
1594525003,2,2
1594526922,3,1
1594528818,6,2
1594531020,3,2
1594532919,1,2
1594534818,1,2
1594536792,1,0
1594538659,1,3
1594540603,4,2
1594542498,2,3
1594544636,2,1
1594546462,2,3
1594548325,4,2
1594550189,3,3
1594552128,4,4
1594554019,1,2
1594555940,1,5
1594557904,1,3
1594559783,1,3
1594561710,4,3
1594563670,2,3
1594565595,0,2
1594567499,1,2
1594569390,5,6
1594571352,2,1
1594573531,2,5
1594575468,1,3
1594577304,3,3
1594579235,1,3
1594581170,0,5
1594583074,1,2
1594584981,2,2
1594586928,3,4
1594588836,1,0
1594590773,1,2
1594592701,1,6
1594594613,2,4
1594596899,3,5
1594598719,2,0
1594600581,1,1
1594602612,1,1
1594604423,3,3
1594606341,0,2
1594608323,5,1
1594610185,2,4
1594612112,2,2
1594614049,4,6
1594615954,3,2
1594617883,2,4
1594619822,4,0
1594621707,2,1
1594623879,4,1
1594625814,1,4
1594627721,1,2
1594629623,2,2
1594631568,2,2
1594633497,2,2
1594635382,0,4
1594637353,2,4
1594639219,3,2
1594641174,1,2
1594643090,3,0
1594645027,1,2
1594646899,2,2
1594649091,2,4
1594652916,1,0
1594654875,1,5
1594656745,2,2
1594658664,0,3
1594662499,1,1
1594664456,5,3
1594666341,2,1
1594668262,2,0
1594670224,4,3
1594672093,0,1
1594675010,4,3
1594676911,1,0
1594678826,3,2
1594680772,1,1
1594682688,3,4
1594684584,2,2
1594686524,4,1
1594688750,5,1
1594690582,0,3
1594692792,5,0
1594694661,3,5
1594696743,1,2
1594698771,5,3
1594700680,0,3
1594702606,4,5
1594704520,2,1
1594706648,1,3
1594708507,4,3
1594710532,0,4
1594712598,2,0
1594714607,2,1
1594716535,4,3
1594718425,1,2
1594720345,0,1
1594722946,6,2
1594725949,6,3
1594727775,0,2
1594729691,1,2
1594731990,2,1
1594736196,3,4
1594738156,1,1
1594740018,1,0
1594741937,2,2
1594743887,3,1
1594745779,5,0
1594747696,1,0
1594749878,4,5
1594751808,2,3
1594753701,2,0
1594755616,1,4
1594757563,1,2
1594759545,1,2
1594761416,3,2
1594763308,3,1
1594765219,1,3
1594767209,0,1
1594769220,3,3
1594771444,0,3
1594773404,1,3
1594775304,2,5
1594777248,6,1
1594779163,1,4
1594781079,4,3
1594783000,2,1
1594784930,2,5
1594786839,1,0
1594788741,1,4
1594790697,2,2
1594792575,1,1
1594794537,5,4
1594796657,2,0
1594798585,4,1
1594800397,1,2
1594802213,1,2
1594804107,1,4
1594806022,3,0
1594807998,1,1
1594809863,1,7
1594811805,2,4
1594813743,4,0
1594815648,4,1
1594817537,4,2
1594819558,4,0
1594821380,5,1
1594823294,4,3
1594825384,4,0
1594827205,6,2
1594829175,6,2
1594831030,4,3
1594832906,1,5
1594834866,1,2
1594836774,0,2
1594838662,3,3
1594840594,2,1
1594842538,2,1
1594844436,3,1
1594846391,0,1
1594848319,1,4
1594850216,7,2
1594852341,3,1
1594854300,2,0
1594856213,2,3
1594858167,6,0
1594860065,2,1
1594861969,3,2
1594863868,2,6
1594865788,2,1
1594867704,0,4
1594869672,3,3
1594871544,2,1
1594873465,2,1
1594875474,5,1
1594877299,0,2
1594879490,4,2
1594881378,1,4
1594883394,0,3
1594885225,3,3
1594887174,2,1
1594889062,3,1
1594890979,1,1
1594892925,1,4
1594894840,2,0
1594896743,2,1
1594898716,2,2
1594900589,1,4
1594902523,2,6
1594904681,2,3
1594906867,2,6
1594908696,0,4
1594911006,1,5
1594913030,3,5
1594915102,1,6
1594916905,0,4
1594919095,2,3
1594920973,2,1
1594922934,3,0
1594925799,5,3
1594928111,4,4
1594930122,1,3
1594932143,4,0
1594934274,1,1
1594936126,0,5
1594938016,1,5
1594939949,0,2
1594941851,2,2
1594943803,0,3
1594945698,1,4
1594947884,1,3
1594949777,1,2
1594951732,2,3
1594953678,1,0
1594955535,1,2
1594957484,2,3
1594959408,1,1
1594961303,1,5
1594963249,2,1
1594965141,2,4
1594967102,3,1
1594969036,1,0
1594970898,2,2
1594973035,1,2
1594974898,3,2
1594976929,4,3
1594978824,4,1
1594980745,3,2
1594982673,0,1
1594984581,0,2
1594986530,2,2
1594988431,1,1
1594990347,2,2
1594992295,1,1
1594994193,1,2
1594998273,0,1
1595000218,0,4
1595002132,3,0
1595004025,3,0
1595005967,2,4
1595007880,2,1
1595009783,2,3
1595012003,2,4
1595013911,0,3
1595015779,4,1
1595017750,1,3
1595019962,1,2
1595021812,5,1
1595023715,3,1
1595027567,2,1
1595029463,0,1
1595031412,1,1
1595033340,1,0
1595035223,1,2
1595037145,0,2
1595039090,1,0
1595041045,2,2
1595042899,1,1
1595045056,2,2
1595047000,2,0
1595049171,3,2
1595051059,1,2
1595052977,3,3
1595054926,1,2
1595056820,3,2
1595058737,0,1
1595060694,0,3
1595062619,5,4
1595064510,0,3
1595066691,2,4
1595068597,1,0
1595070495,1,0
1595072428,0,2
1595074364,7,1
1595076257,1,1
1595078175,2,2
1595080119,6,0
1595082014,3,1
1595083930,3,0
1595085969,2,0
1595087783,0,3
1595089937,2,2
1595091865,0,3
1595093801,2,1
1595095820,3,3
1595097733,4,2
1595099547,2,0
1595101461,2,2
1595103407,1,2
1595105317,1,1
1595107279,3,4
1595109167,2,3
1595111065,2,2
1595112978,5,1
1595114925,0,1
1595117812,0,1
1595119703,3,1
1595121625,1,1
1595123579,1,0
1595125480,2,1
1595127451,3,2
1595129346,2,1
1595131433,1,2
1595133380,2,2
1595135325,0,3
1595139167,2,3
1595141063,4,2
1595142974,1,2
1595144920,0,1
1595146818,1,0
1595148735,1,5
1595150732,2,0
1595152590,1,1
1595154519,1,2
1595156581,3,1
1595160307,2,4
1595162204,2,4
1595164096,1,1
1595166017,4,4
1595168088,4,6
1595170085,0,3
1595172058,0,1
1595173966,1,1
1595175893,1,2
1595177805,2,0
1595179697,1,1
1595181869,1,4
1595183809,0,2
1595186016,1,4
1595187877,1,2
1595189798,3,1
1595191735,4,1
1595193624,0,3
1595195590,1,2
1595197503,1,2
1595199381,1,5
1595201194,3,0
1595203395,2,0
1595205404,1,1
1595207308,3,3
1595209218,2,0
1595211168,2,2
1595213064,0,3
1595215017,1,1
1595216929,1,3
1595220740,1,2
1595222708,1,0
1595224597,0,1
1595226834,1,4
1595228691,1,2
1595230576,2,0
1595232502,1,0
1595234453,2,2
1595236349,1,1
1595238289,0,2
1595240183,3,1
