DateTime,AddedIPs,RemovedIPs
1594185629,4,1
1594187540,4,2
1594189493,2,1
1594191413,0,2
1594193295,1,0
1594195454,2,1
1594197377,1,1
1594199355,2,0
1594203141,1,0
1594205095,0,1
1594208926,0,2
1594212776,0,1
1594214691,2,1
1594222605,4,0
1594224506,4,0
1594226418,1,8
1594228370,1,5
1594230258,1,0
1594232180,0,1
1594234141,1,4
1594236119,2,4
1594237983,0,3
1594239862,0,1
1594243709,2,0
1594245672,3,0
1594249479,1,3
1594251376,6,8
1594253307,0,5
1594255224,3,1
1594257195,4,0
1594259085,0,3
1594261007,2,0
1594262898,0,2
1594264875,1,0
1594266744,0,1
1594268666,0,5
1594270635,1,0
1594272516,0,5
1594274691,2,3
1594276829,2,2
1594278740,3,0
1594280683,5,2
1594282658,4,2
1594284503,3,1
1594286514,2,1
1594288355,2,1
1594290262,3,0
1594292253,1,0
1594294102,3,0
1594298201,2,0
1594302029,2,2
1594307836,2,1
1594309699,3,3
1594311634,4,5
1594313869,0,1
1594317890,0,1
1594319777,1,0
1594321970,7,2
1594323861,3,1
1594325805,1,0
1594327718,1,0
1594329633,3,2
1594331581,1,3
1594333488,2,0
1594335428,1,1
1594337318,6,4
1594339451,0,2
1594341375,1,3
1594343328,1,4
1594345230,5,0
1594347137,0,2
1594349060,2,0
1594352943,1,1
1594356792,2,1
1594360586,2,2
1594362497,1,2
1594364773,2,1
1594366610,1,7
1594368501,3,3
1594370420,0,4
1594372612,0,2
1594374520,3,2
1594376416,0,3
1594378379,0,1
1594380257,0,3
1594384124,0,1
1594386224,1,1
1594388173,4,2
1594390119,3,0
1594392072,1,0
1594394190,1,2
1594396367,3,3
1594398257,1,4
1594406170,2,1
1594408122,3,7
1594410023,5,3
1594411932,1,1
1594413888,1,1
1594415784,0,2
1594417694,2,2
1594419618,0,2
1594421538,0,1
1594423459,2,5
1594425406,0,1
1594427325,0,1
1594429436,1,1
1594431403,1,4
1594433573,1,1
1594435460,0,2
1594437389,3,0
1594439324,1,1
1594443203,2,2
1594445111,4,0
1594446984,0,2
1594449147,0,1
1594451095,0,2
1594453021,0,1
1594454899,0,3
1594456829,2,0
1594458772,4,0
1594460661,0,3
1594462581,4,0
1594464536,4,0
1594466421,4,0
1594470297,3,0
1594472183,0,1
1594474098,2,4
1594476275,1,3
1594478228,2,1
1594480147,0,1
1594482320,0,3
1594484186,4,1
1594486125,2,0
1594488065,1,0
1594489948,1,0
1594491892,1,1
1594493785,2,4
1594495700,4,3
1594497863,3,3
1594501701,0,1
1594503620,0,2
1594505580,4,0
1594509374,2,2
1594511354,1,0
1594515149,3,1
1594519002,0,1
1594520943,1,1
1594523102,1,2
1594525004,0,1
1594526924,0,1
1594528819,0,2
1594531022,2,3
1594532919,0,1
1594536793,1,0
1594538660,1,0
1594540617,1,0
1594544665,0,5
1594546820,5,1
1594548733,1,4
1594550685,2,4
1594552579,3,4
1594554523,2,0
1594556439,2,3
1594560263,2,2
1594562201,1,1
1594564092,1,2
1594566179,2,0
1594568203,1,0
1594570099,0,3
1594572012,1,2
1594573963,4,1
1594575860,1,2
1594577777,1,1
1594579722,6,1
1594581615,4,4
1594583538,2,4
1594587408,2,0
1594589292,2,0
1594592420,1,4
1594594357,3,0
1594596300,1,2
