DateTime,AddedIPs,RemovedIPs
1594259086,9,1
1594261008,8,6
1594262899,5,2
1594264876,11,2
1594266745,16,4
1594268667,9,2
1594270636,11,2
1594272517,9,7
1594274694,13,2
1594276830,10,1
1594278741,12,6
1594280684,13,2
1594282659,9,3
1594284503,11,7
1594286515,17,2
1594288357,15,3
1594290263,12,6
1594292254,13,7
1594294103,7,2
1594296237,9,2
1594298202,6,3
1594300114,9,3
1594302030,6,6
1594303967,6,3
1594305895,4,3
1594307838,3,1
1594309700,1,2
1594311635,7,1
1594313869,9,2
1594315723,8,6
1594317891,4,7
1594319778,7,0
1594321971,12,4
1594323862,6,1
1594325807,13,2
1594327719,11,9
1594329634,7,5
1594331582,5,14
1594333489,2,6
1594335429,5,14
1594337319,3,3
1594339460,6,4
1594341376,8,7
1594343329,11,3
1594345231,14,5
1594347138,10,7
1594349061,10,4
1594350976,7,8
1594352944,0,10
1594354815,5,10
1594356793,3,4
1594358718,5,7
1594360588,0,5
1594362498,1,7
1594364786,1,10
1594366611,3,11
1594368502,11,5
1594370421,1,12
1594372613,2,12
1594374521,4,11
1594376417,1,17
1594378380,5,14
1594380258,3,8
1594382187,1,8
1594384125,4,6
1594386291,3,8
1594388174,0,5
1594390120,1,8
1594392073,3,5
1594394191,3,5
1594396368,7,7
1594398258,15,6
1594400216,7,11
1594402093,4,6
1594404287,3,11
1594406171,1,9
1594408123,1,12
1594410024,2,10
1594411932,2,12
1594413890,0,10
1594415785,2,8
1594417695,0,5
1594419619,3,3
1594421539,2,3
1594423460,1,5
1594425406,1,2
1594427326,0,18
1594429448,5,17
1594431404,1,18
1594433574,0,20
1594435461,1,21
1594437390,5,10
1594439326,5,0
1594441219,14,6
1594443204,11,4
1594445113,10,5
1594446987,12,2
1594449149,16,3
1594451098,17,1
1594453023,8,4
1594454900,9,8
1594456830,9,3
1594458773,6,1
1594460662,8,4
1594462607,9,1
1594464537,6,4
1594466422,7,3
1594468376,14,1
1594470298,4,5
1594472184,6,3
1594474099,9,0
1594476277,5,4
1594478244,10,3
1594480148,4,1
1594482321,5,6
1594484187,3,9
1594486127,1,10
1594488066,1,5
1594489949,6,2
1594491893,6,2
1594493786,2,0
1594495701,4,1
1594497865,9,3
1594499805,8,1
1594501702,8,3
1594503621,3,0
1594505581,8,2
1594507479,5,1
1594509375,5,3
1594511355,8,0
1594513224,4,2
1594515150,5,2
1594517091,3,3
1594519003,0,1
1594520952,1,0
1594523106,0,3
1594525006,3,2
1594526925,3,7
1594528820,2,12
