DateTime,AddedIPs,RemovedIPs
1594388058,26,44
1594391659,126,145
1594392924,28,15
1594394718,45,30
1594395260,18,55
1594398859,89,90
1594401563,70,75
1594402459,25,75
1594406063,201,114
1594407688,35,88
1594409117,41,2
1594410621,56,80
1594413258,67,112
1594415011,53,63
1594416180,49,2
1594417819,60,85
1594419924,113,59
1594421420,45,147
1594424058,56,116
1594427117,110,60
1594429462,86,110
1594431261,53,51
1594432569,37,3
1594434320,52,59
1594434860,14,65
1594435958,31,10
1594437919,49,46
1594439422,82,53
1594442057,103,111
1594443934,71,55
1594445661,64,48
1594448064,49,64
1594449259,29,55
1594451194,47,72
1594452858,67,76
1594455918,78,75
1594457306,58,106
1594458436,34,50
1594460059,42,57
1594461157,27,22
1594463660,64,101
1594465723,0,6852
1594467257,6792,0
1594469359,68,80
1594470585,38,48
1594470857,6,0
1594472976,64,279
1594474458,44,153
1594476678,60,38
1594478059,32,55
1594480234,76,63
1594481658,32,53
1594484272,86,59
1594485257,29,58
1594486726,43,57
1594488317,21,4
1594488858,9,69
1594490856,25,67
1594492458,33,121
1594494153,62,60
1594495517,46,0
1594497019,73,67
1594499665,174,121
1594501260,49,64
1594502719,41,0
1594503258,13,69
1594506859,129,130
1594509147,90,76
1594511418,65,125
1594514058,108,115
1594516424,71,73
1594519604,88,116
1594521259,40,34
1594523193,50,57
1594524861,68,47
1594526282,46,18
1594527459,47,44
1594528456,0,6298
1594530888,6331,0
1594532060,22,40
1594533397,41,12
1594534991,30,59
1594535656,22,65
1594537439,38,47
1594538720,35,2
1594541637,74,140
1594542790,38,59
1594545351,73,66
1594547420,70,97
1594550056,78,118
1594552601,85,70
1594553866,52,54
1594556718,102,46
1594557254,31,42
1594559842,125,68
1594561820,70,80
1594563208,52,24
1594564458,55,38
1594567079,130,44
1594568063,42,40
1594570699,81,43
1594571654,27,34
1594574324,88,123
1594575256,51,72
1594578857,170,111
1594581601,107,165
1594582454,26,39
1594586060,128,122
1594587970,71,93
1594589659,59,80
1594590803,41,28
1594592723,71,30
1594594217,107,70
1594596053,131,55
1594596859,42,51
1594599757,107,76
1594600458,31,49
1594603300,87,53
1594605022,61,82
1594607661,108,81
1594610543,127,90
1594612038,83,108
1594613329,57,51
1594614868,73,62
1594616535,76,45
1594617783,40,0
1594619320,44,52
1594620563,37,40
1594622056,55,56
1594624400,0,6610
1594625659,6653,0
1594628708,126,71
1594630217,57,58
1594631487,50,24
1594633804,86,141
1594635057,101,55
1594637421,105,100
1594639017,43,44
1594641865,103,106
1594643660,309,60
1594645130,39,62
1594646723,36,5
1594647260,15,61
1594648486,27,17
1594649593,24,50
1594650846,0,6920
1594653744,6939,0
1594654461,23,53
1594657360,77,68
1594658058,16,22
1594659537,33,54
1594661056,42,2
1594661656,16,39
1594664075,68,77
1594665257,25,68
1594668860,92,190
1594670509,30,60
1594671917,41,0
1594673418,37,87
1594674725,34,30
1594676054,18,65
1594677768,34,68
1594679661,80,61
1594681690,55,52
1594683259,40,48
1594686862,86,110
1594688112,45,18
1594689479,22,32
1594690459,14,50
1594692429,36,55
1594694058,35,59
1594697123,90,69
1594697658,22,51
1594699165,34,64
1594700722,25,8
1594702228,73,59
1594703738,0,6563
1594704857,6563,0
1594707758,61,48
1594708862,13,47
1594710221,17,38
1594711374,51,0
1594712060,11,46
1594713363,17,13
1594714959,25,33
1594715659,11,40
1594718015,36,58
1594719265,29,36
1594720645,18,21
1594722861,100,104
1594725593,32,55
1594727420,30,101
1594729127,37,45
1594730060,13,67
1594732644,0,6312
1594733667,6254,0
1594735391,31,71
1594737258,38,111
1594738455,30,21
1594739814,37,44
1594740937,19,54
1594742337,25,47
1594744457,49,73
1594748058,66,174
1594750585,52,74
1594751658,23,66
1594752758,33,22
1594754719,35,48
1594756219,32,91
1594758861,67,109
1594761184,42,72
1594762459,21,63
1594763648,19,13
1594766061,46,230
1594769120,41,133
1594769658,6,62
1594770853,22,13
1594772721,26,69
1594773260,12,59
1594776311,0,5307
1594777639,5237,0
1594780458,90,152
1594782249,40,88
1594784056,33,85
1594787663,78,162
1594789406,36,46
1594791257,50,61
1594793043,27,83
1594794260,21,0
1594795827,30,130
1594796980,16,49
1594798452,0,4802
1594800634,4751,0
1594802058,28,70
1594804666,62,99
1594806029,25,71
1594807437,25,136
1594809262,56,51
1594810925,36,104
1594812240,23,0
1594813417,24,55
1594815000,27,53
1594816971,37,50
1594818194,19,52
1594820060,36,61
1594821580,25,59
1594823657,34,60
1594826108,47,47
1594827258,25,50
1594828648,21,19
1594830318,28,33
1594831817,20,71
1594834459,81,85
1594835701,27,16
1594837375,26,37
1594838058,9,37
1594839275,25,20
1594841658,57,74
1594842875,22,23
1594844579,0,4163
1594845260,4162,0
1594847765,57,31
1594848860,15,82
1594851448,44,53
1594852585,21,36
1594855520,69,56
1594856060,10,47
1594858310,41,54
1594859658,32,29
1594863259,81,92
1594866319,58,56
1594867824,33,99
1594870461,53,66
1594874059,107,117
1594875926,45,16
1594877126,26,1
1594878389,26,53
1594879526,21,28
1594881259,27,57
1594882420,24,11
1594883593,21,18
1594885663,30,30
1594888460,60,52
1594890091,0,3979
1594892065,3938,0
1594893443,31,8
1594895119,26,15
1594895661,8,19
1594896780,24,9
1594898168,48,18
1594899256,22,33
1594901856,35,34
1594902857,18,23
1594904000,21,17
1594905922,48,13
1594906461,13,34
1594907922,22,50
1594909235,23,5
1594910057,10,34
1594911407,64,9
1594913118,28,22
1594913657,9,33
1594915703,52,37
1594917596,26,35
1594920114,54,29
1594920842,0,4043
1594922610,4014,0
1594924456,33,36
1594925680,18,7
1594926899,19,23
1594928056,16,41
1594930297,57,35
1594932618,44,39
1594935259,47,50
1594936468,15,16
1594938860,55,50
1594942225,47,59
1594942461,9,0
1594943723,36,12
1594945046,33,21
1594946060,26,21
1594947265,29,11
1594949662,58,103
1594951016,45,8
1594952728,51,28
1594953261,14,35
1594956062,68,34
1594957824,49,63
1594959931,67,23
1594961429,44,58
1594964061,70,40
1594965474,28,24
1594967131,50,25
1594968294,37,38
1594969849,36,40
1594971259,37,34
1594972649,29,39
1594974318,52,30
1594974860,8,28
1594977765,79,41
1594978459,22,32
1594979990,26,32
1594982064,80,35
1594983530,33,39
1594984709,27,0
1594985665,36,42
1594987313,53,24
1594989257,44,26
1594991218,61,37
1594992323,29,1
1594993462,38,34
1594994663,51,32
1594996457,85,35
1594998996,87,38
1595000059,23,21
1595001790,44,30
1595003002,42,2
1595004390,54,77
1595005500,37,23
1595007258,50,29
1595009073,65,33
1595010855,64,42
1595012162,33,12
1595014457,75,69
1595015801,33,33
1595017522,68,31
1595018062,14,25
1595019941,50,30
1595021119,27,4
1595021660,11,27
1595023206,26,44
1595024337,30,7
1595025262,19,32
1595028858,73,65
1595030852,54,40
1595032458,44,39
1595035295,78,50
1595038094,76,79
1595039662,31,37
1595040805,17,16
1595042724,42,46
1595043262,7,40
1595045338,52,52
1595046862,48,32
1595049920,68,37
1595052586,33,63
1595054058,28,29
1595057656,87,64
1595059827,47,38
1595061257,42,39
1595064317,72,42
1595065819,35,44
1595067771,31,46
1595068460,14,37
1595069659,23,19
1595071518,45,20
1595072057,9,22
1595073183,36,12
1595074328,13,20
1595075657,40,32
1595077701,47,29
1595079258,26,21
1595080485,28,88
1595082320,48,218
1595083617,26,44
1595084872,21,45
1595087419,60,40
1595088773,29,24
1595090059,38,37
1595093657,75,71
1595096018,73,23
1595097261,28,24
1595098382,35,24
1595100319,54,27
1595101819,56,53
1595103260,63,25
1595104461,35,24
1595106942,68,44
1595109022,34,46
1595110508,48,36
1595111658,57,7
1595114412,85,48
1595115258,11,47
1595117583,71,42
1595119820,46,63
1595121249,42,42
1595122460,19,50
1595125004,67,38
1595126059,33,35
1595128416,59,49
1595129659,28,38
1595132252,95,48
1595133258,23,40
1595134413,40,18
1595136195,28,18
1595136859,18,41
1595139490,73,47
1595140937,37,54
1595143205,53,44
1595144059,22,41
1595145817,39,46
1595147656,40,38
1595150038,57,39
1595151255,44,89
1595152469,18,16
1595153655,29,29
1595154856,35,47
1595156328,20,62
1595157917,46,5
1595158458,6,33
1595161214,69,57
1595162055,22,54
1595165119,78,92
1595166618,31,94
1595168457,35,39
1595169257,16,44
1595171458,37,54
1595172865,24,48
1595174104,21,24
1595176460,68,81
1595178195,66,56
1595179373,55,0
1595180709,40,65
1595182941,27,47
1595183658,14,52
1595185343,52,57
1595187256,49,57
1595189186,54,49
1595190320,49,4
1595191818,44,68
1595192919,52,24
1595194459,38,37
1595197386,56,50
1595198059,19,24
1595200147,54,63
1595201658,39,38
1595204630,69,45
1595205267,21,57
1595208860,101,84
1595210181,32,18
1595211985,35,21
1595212461,8,37
1595214587,48,42
1595217027,43,40
1595218199,27,41
1595219666,26,30
1595221453,41,31
1595223266,40,27
1595224477,13,10
1595225783,26,25
1595226857,16,50
1595228068,22,15
1595229221,5,28
1595230463,21,45
1595231980,25,43
1595233526,28,2
1595234059,20,46
1595235868,37,62
1595237155,18,3
1595238620,25,43
