DateTime,AddedIPs,RemovedIPs
1594372834,52,29
1594373657,19,41
1594375595,39,46
1594376714,38,4
1594377256,8,38
1594378582,31,15
1594380316,35,250
1594382334,53,537
1594383551,30,13
1594384454,13,43
1594385815,39,16
1594387514,39,35
1594388054,11,36
1594391656,92,97
1594392922,21,13
1594394713,40,30
1594395256,13,61
1594398856,77,113
1594401561,63,55
1594402454,22,36
1594406059,100,93
1594407686,41,37
1594409113,36,14
1594410617,43,50
1594413254,69,77
1594415008,39,46
1594416178,22,3
1594417815,25,35
1594419918,45,36
1594421416,20,59
1594424053,51,59
1594427114,46,46
1594429458,45,56
1594431257,36,34
1594432567,26,21
1594434317,34,36
1594434855,10,33
1594435955,24,23
1594437914,32,35
1594439417,33,47
1594442053,65,90
1594443932,39,40
1594445655,27,45
1594448062,50,51
1594449255,20,40
1594451192,43,45
1594452855,35,24
1594455915,51,43
1594457304,22,42
1594458433,13,24
1594460055,40,35
1594461156,35,19
1594463657,94,81
1594465721,34,36
1594467253,28,49
1594469357,43,50
1594470584,28,39
1594470853,7,1
1594472975,36,68
1594474453,29,170
1594476676,42,361
1594478056,22,251
1594480232,49,338
1594481654,23,228
1594484271,40,346
1594485254,16,270
1594486722,23,31
1594488313,38,8
1594488852,8,38
1594490853,43,51
1594492454,25,31
1594494147,36,48
1594495514,23,6
1594497015,27,44
1594499658,52,70
1594501258,33,44
1594502714,35,7
1594503254,8,37
1594506855,58,96
1594509145,54,58
1594511416,46,65
1594514055,55,92
1594516422,45,63
1594519601,58,94
1594521254,28,56
1594523147,34,48
1594524856,32,51
1594526280,33,21
1594527457,18,36
1594528455,16,44
1594530886,50,47
1594532056,23,607
1594533395,82,791
1594534988,189,737
1594535653,108,372
1594537436,263,148
1594538717,145,9
1594541636,304,228
1594542785,136,43
1594545349,245,42
1594547416,185,62
1594550054,166,57
1594552599,156,51
1594553864,82,39
1594556716,156,47
1594557252,26,25
1594559837,121,40
1594561817,95,41
1594563207,34,29
1594564454,25,43
1594567078,36,40
1594568061,16,31
1594570695,402,39
1594571652,172,41
1594574322,284,32
1594575253,61,36
1594578853,156,78
1594581599,228,61
1594582452,115,29
1594586055,268,65
1594587967,86,44
1594589655,68,55
1594592717,191,54
1594594214,95,50
1594596051,85,21
1594596856,28,31
1594599755,98,37
1594600454,31,46
1594603299,112,48
1594605019,71,40
1594607656,93,60
1594610539,71,48
1594612027,65,34
1594613327,34,31
1594614862,48,37
1594616532,58,47
1594617781,30,6
1594619318,47,39
1594620561,33,19
1594622054,39,35
1594625656,104,298
1594630215,196,81
1594631485,40,80
1594633802,97,64
1594635054,26,25
1594637417,90,41
1594639002,60,33
1594641863,103,50
1594643656,149,47
1594646718,208,44
1594647255,20,28
1594648484,124,14
1594649588,157,37
1594653742,739,57
1594654457,106,27
1594657359,555,38
1594658054,34,40
1594659535,35,34
1594661052,33,10
1594661653,15,26
1594664073,113,50
1594665253,77,23
1594668855,107,87
1594670502,119,58
1594671915,53,27
1594673414,135,45
1594674723,137,26
1594676052,53,69
1594677762,51,48
1594679656,51,53
1594681688,110,96
1594683255,61,72
1594686857,78,87
1594688108,29,40
1594689477,31,28
1594690454,29,34
1594692427,57,53
1594694055,53,38
1594697119,115,38
1594697654,11,26
1594699163,41,35
1594700719,25,10
1594702219,26,45
1594704854,66,51
1594707756,62,56
1594708857,27,31
1594710216,26,30
1594711372,28,15
1594712055,23,37
1594713358,35,12
1594714957,48,103
1594715654,18,33
1594718012,64,69
1594719261,34,39
1594720641,30,21
1594722856,154,76
1594725590,307,77
1594727416,122,74
1594729124,97,63
1594730056,49,60
1594733663,152,120
1594735389,75,27
1594737253,63,24
1594738453,32,18
1594739812,34,28
1594740935,33,63
1594742335,57,55
1594744455,51,47
1594748054,64,95
1594750583,40,49
1594751654,36,44
1594752756,18,21
1594754716,41,39
1594756215,40,62
1594758856,68,88
1594761180,77,60
1594762455,34,63
1594763646,39,14
1594766056,60,106
1594769115,66,71
1594769654,12,40
1594770849,34,5
1594773256,65,105
1594777637,89,118
1594780455,66,92
1594782246,31,63
1594784055,39,65
1594787659,75,113
1594789401,40,62
1594791254,61,58
1594793041,51,53
1594794257,28,11
1594795821,39,78
1594796978,31,42
1594800631,70,143
1594802055,32,50
1594804664,85,65
1594806027,35,50
1594807434,26,57
1594809258,31,54
1594810916,34,63
1594812236,34,10
1594813415,25,45
1594814996,40,50
1594816968,37,59
1594818191,35,69
1594820055,38,66
1594821579,40,68
1594823653,86,59
1594826104,76,70
1594827255,30,42
1594828646,28,29
1594830316,29,33
1594831812,42,52
1594834456,66,159
1594835699,25,15
1594837373,37,37
1594838053,14,38
1594839273,29,18
1594841654,88,82
1594842873,45,17
1594845257,66,77
1594847762,92,53
1594848854,23,40
1594851446,90,63
1594852583,36,45
1594855517,108,38
1594856054,16,33
1594858308,60,54
1594859654,48,49
1594863255,101,98
1594866314,81,67
1594867818,47,72
1594870457,95,67
