DateTime,AddedIPs,RemovedIPs
1594206256,26,26
1594208200,48,7
1594210094,32,18
1594212008,24,13
1594213957,24,11
1594215846,13,17
1594219713,9,19
1594221604,15,21
1594223525,22,6
1594225475,7,11
1594227364,19,16
1594229529,28,24
1594231450,24,11
1594233395,26,13
1594235327,29,6
1594237237,22,16
1594239130,18,28
1594241052,17,16
1594242965,28,16
1594244884,2,15
1594246834,5,24
1594248728,31,26
1594250649,21,25
1594252598,20,26
1594254486,20,26
1594256438,36,17
1594258329,38,14
1594260274,28,16
1594262166,13,28
1594264123,16,14
1594266006,14,15
1594267928,12,24
1594269877,17,21
1594271803,8,15
1594273928,7,6
1594275852,15,16
1594277793,6,13
1594279687,11,20
1594281621,11,17
1594283551,6,10
1594285449,13,14
1594287369,12,8
1594289314,11,17
1594291211,36,8
1594293136,22,10
1594295050,19,3
1594296966,19,8
1594298910,18,12
1594300805,23,18
1594302728,11,26
1594304672,12,23
1594306566,27,17
1594308508,3,30
1594310408,43,20
1594312402,35,18
1594314577,35,18
1594318572,21,33
1594320485,6,22
1594322411,17,17
1594324328,20,20
1594326274,12,19
1594328165,20,23
1594330084,31,22
1594332038,30,23
1594333927,17,17
1594335847,14,0
1594337792,17,23
1594339772,30,24
1594341639,34,20
1594343528,23,16
1594345474,18,23
1594347367,21,17
1594349312,18,11
1594351205,9,20
1594353127,12,17
1594355078,13,14
1594356970,19,21
1594358885,16,7
1594360836,11,10
1594363713,7,9
1594365610,12,12
1594367534,10,14
1594369480,7,0
1594371366,9,5
1594373311,9,13
1594375208,11,14
1594377377,9,32
1594379538,9,8
1594381452,12,7
1594383397,34,8
1594385287,12,0
1594387233,18,21
1594389130,23,16
1594391049,9,9
1594393031,21,20
1594394884,10,0
1594396818,4,3
1594398755,4,4
1594402573,10,2
1594404525,17,0
1594406412,11,15
1594408337,14,17
1594410279,12,15
1594412172,15,22
1594414086,12,19
1594416010,19,11
1594417929,12,15
1594419854,14,14
1594421767,23,12
1594428490,16,45
1594430433,23,0
1594432327,13,19
1594434274,11,21
1594436164,6,6
1594438089,15,8
1594440048,15,5
1594441926,22,7
1594443848,12,15
1594445795,8,13
1594447693,13,17
1594449608,6,12
1594451558,9,9
1594453448,5,16
1594455390,10,9
1594457316,8,8
1594459209,15,11
1594461131,13,9
1594463078,9,15
1594464966,12,9
1594466887,10,5
1594468836,6,14
1594470730,12,16
1594472650,10,11
1594474596,7,18
1594478408,11,26
1594480385,7,10
1594482300,1,0
1594484173,4,4
1594486111,9,11
1594488016,9,5
1594489935,11,15
1594493766,11,34
1594495686,13,6
1594497645,8,8
1594499529,13,0
1594501448,10,20
1594503397,11,21
1594505288,9,13
1594507211,11,20
1594509159,13,10
1594511052,14,9
1594512967,10,13
1594514919,4,13
1594516806,6,17
1594518726,7,13
1594520678,10,13
1594522567,11,16
1594524483,7,14
1594526522,9,16
1594528333,13,11
1594530495,11,10
1594532436,13,13
1594534331,11,10
1594536247,10,0
1594538440,19,18
1594540327,5,12
1594542250,10,0
1594544193,9,26
1594546086,9,8
1594549956,9,22
1594551854,6,0
1594553768,8,0
1594555719,11,40
1594557608,11,0
1594559530,19,20
1594561477,16,26
1594563368,12,0
1594565536,15,37
1594567476,4,9
1594569370,6,0
1594571294,7,4
1594573254,7,0
1594575129,5,6
1594577057,7,13
1594579927,11,6
1594581876,17,7
1594583766,12,13
1594585685,8,15
1594587638,13,12
1594589528,23,16
1594591448,20,14
1594593398,6,10
1594595293,9,12
1594597248,10,15
1594599144,15,13
1594601048,22,7
1594602974,12,15
1594604887,20,9
1594606835,20,17
1594608732,14,14
1594610656,9,12
1594612595,14,11
1594614486,14,0
1594616413,21,17
1594618352,10,15
1594620257,9,0
1594622181,7,23
1594624120,12,9
1594626008,11,14
1594627957,9,8
1594631769,14,30
1594633715,8,13
1594635610,12,0
1594637529,20,18
1594639481,18,7
1594641370,24,23
1594643287,16,22
1594645211,24,19
1594647184,19,11
1594649295,21,15
1594651208,16,14
1594653401,3,19
1594655288,4,6
1594657226,25,2
1594659154,13,12
1594661050,21,0
1594662993,16,0
1594664887,14,28
1594666813,23,12
1594668853,18,12
1594670922,21,8
1594672834,17,12
1594674730,19,25
1594676652,20,0
1594678593,20,26
1594680488,12,8
1594682407,9,19
1594684358,15,16
1594686251,12,12
1594688166,11,12
1594690084,10,16
1594692018,12,7
1594693925,12,17
1594696704,8,18
1594698757,15,33
1594700648,8,0
1594702592,13,34
1594704487,14,0
1594706412,10,31
1594709552,10,25
1594711452,14,10
1594713364,21,15
1594715290,7,11
1594717238,10,20
1594719130,18,27
1594721051,13,10
1594723495,21,19
1594725442,13,12
1594727290,9,15
1594729480,12,18
1594731366,21,18
1594733285,23,26
1594735252,21,19
1594737128,25,12
1594741208,19,25
1594743161,23,6
1594745049,13,8
1594746972,11,0
1594748916,23,13
1594750809,10,18
1594752729,18,14
1594754679,15,8
1594756568,18,21
1594758489,12,13
1594760435,15,21
1594762407,14,8
1594764276,19,23
1594766170,18,10
1594768089,7,15
1594770038,18,9
1594772180,15,16
1594774118,5,9
1594776007,12,8
1594777927,7,9
1594779877,14,10
1594781766,19,9
1594789695,15,36
1594791606,11,9
1594793433,11,11
1594795242,13,0
1594797131,15,11
1594799276,16,12
1594801219,17,10
1594803130,5,9
1594805098,13,5
1594806973,20,9
1594808885,11,14
1594810842,13,22
1594812726,6,25
1594814648,17,43
1594816597,10,30
1594818504,20,24
1594822362,17,35
1594824247,12,0
1594826172,6,8
1594828088,2,14
1594830011,8,22
1594831949,20,8
1594833878,11,16
1594836760,12,50
1594838648,4,25
1594840573,13,31
1594842516,12,22
1594846328,9,27
1594848282,20,25
1594850175,31,6
1594852326,24,6
1594854169,16,25
1594856196,16,23
1594858151,19,20
1594860038,8,17
1594863848,22,70
1594865767,20,32
1594867687,16,15
1594869637,8,15
1594871529,13,9
1594873449,15,10
1594875395,13,19
1594877285,13,9
1594879223,15,10
1594882087,15,12
1594884279,14,7
1594886165,12,10
1594888085,10,9
1594890034,17,7
1594891928,16,12
1594893857,13,10
1594895794,14,8
1594897717,14,35
1594899606,6,22
1594901800,19,39
1594903687,8,0
1594905934,8,42
1594907796,23,11
1594909961,24,13
1594912125,29,28
1594914045,9,4
1594917887,6,74
1594919774,2,33
1594921691,5,0
1594923645,14,21
1594925532,45,9
1594927480,40,19
1594929370,52,20
1594931313,17,17
1594933215,13,16
1594935128,18,28
1594937052,17,30
1594938997,11,20
1594941023,10,14
1594943076,8,18
1594944966,16,28
1594946888,24,40
1594948833,22,20
1594950726,16,19
1594952646,14,20
1594956483,11,30
1594958408,28,12
1594960352,24,16
1594962248,20,17
1594964168,25,13
1594966120,29,11
1594968010,22,0
1594969930,15,9
