DateTime,AddedIPs,RemovedIPs
1594441926,47,16
1594443848,12,15
1594445795,220,13
1594447693,14,8
1594449608,6,0
1594451558,222,11
1594453448,4,9
1594455390,8,5
1594457316,10,7
1594459209,163,7
1594461131,12,9
1594462502,251,0
1594463078,11,9
1594464966,10,9
1594466887,7,6
1594468565,761,2272
1594468836,8,12
1594469702,213,0
1594470730,9,27
1594472650,10,19
1594474596,5,19
1594476902,204,0
1594478408,8,33
1594480385,8,23
1594482300,0,8
1594484173,4,4
1594486111,109,3
1594488016,9,0
1594489935,204,8
1594493766,9,32
1594495686,117,15
1594495802,107,0
1594497645,7,10
1594499529,100,13
1594501448,9,10
1594503002,62,0
1594503397,11,19
1594505288,10,10
1594507211,14,11
1594509159,15,24
1594510203,137,0
1594511052,13,0
1594512023,36,85
1594512967,8,0
1594514919,4,9
1594516806,3,0
1594517402,151,2430
1594518726,9,17
1594519684,40,0
1594520678,7,25
1594522567,9,18
1594523525,34,70
1594524483,9,0
1594524602,194,0
1594526522,9,29
1594528333,12,13
1594530495,26,61
1594532436,205,4
1594534331,13,14
1594536247,9,7
1594538440,19,6
1594540327,114,4
1594542250,12,8
1594542601,180,0
1594544193,10,7
1594546086,7,11
1594549956,14,22
1594551854,84,8
1594553768,9,7
1594555719,208,7
1594557608,10,11
1594559530,13,7
1594560256,796,781
1594561477,141,4
1594561502,88,0
1594563368,13,0
1594565536,104,6
1594567476,6,9
1594569370,6,1
1594571294,6,3
1594572301,184,0
1594573254,5,8
1594575129,6,10
1594577057,8,8
1594579927,95,0
1594581876,16,8
1594583766,14,24
1594585685,174,12
1594587638,11,7
1594589528,17,9
1594591448,92,11
1594593398,6,8
1594594802,153,0
1594595293,4,14
1594596250,41,0
1594597248,6,10
1594598402,71,2232
1594599144,18,15
1594601048,23,8
1594602002,104,0
1594602974,13,5
1594604887,21,6
1594605602,98,0
1594606835,16,7
1594607766,64,86
1594608732,12,12
1594609202,112,0
1594610656,10,9
1594612595,15,9
1594612802,93,0
1594614486,12,7
1594615447,23,0
1594616413,19,10
1594618352,108,12
1594620257,9,13
1594622181,6,14
1594624120,194,9
1594626008,9,19
1594627957,11,9
1594630802,261,0
1594631769,13,18
1594633715,9,6
1594635610,13,0
1594637529,21,12
1594638002,274,0
1594639481,17,7
1594641370,22,8
1594643287,14,10
1594645211,21,9
1594647184,257,17
1594649295,19,16
1594651208,15,15
1594651718,861,800
1594653401,266,12
1594655288,6,7
1594657226,142,4
1594659154,10,6
1594661050,19,7
1594662993,18,6
1594664102,180,0
1594664887,14,5
1594666813,23,11
1594668853,15,14
1594670922,22,12
1594671302,188,0
1594672834,12,7
1594674730,19,10
1594676652,12,14
1594678593,21,15
1594680488,212,3
1594682407,11,5
1594684358,16,4
1594684567,42,81
1594686251,212,2228
1594688166,15,21
1594690084,12,12
1594692018,20,16
1594692247,38,0
1594692902,199,0
1594693925,17,14
1594696704,40,73
1594698757,115,8
1594700648,10,13
1594702592,12,16
1594703764,20,44
1594704487,100,16
1594706412,6,7
1594707301,204,0
1594709552,11,19
1594711452,17,12
1594713364,22,11
1594715290,119,7
1594717238,10,0
1594719130,172,12
1594721051,147,6
1594723495,125,13
1594725442,12,19
1594727290,12,10
1594729480,15,18
1594729801,296,0
1594731366,24,12
1594733285,24,21
1594735252,19,18
