DateTime,AddedIPs,RemovedIPs
1594842243,13,19
1594842721,1,0
1594843565,6,0
1594843922,7,0
1594845722,2,0
1594846082,20,18
1594846321,2,0
1594847521,1,0
1594848122,6,0
1594848721,5,0
1594849321,9,0
1594849922,18,22
1594850521,1,1
1594851842,29,18
1594852921,13,0
1594853521,1,0
1594854122,11,0
1594855322,12,0
1594856521,4,0
1594857722,12,0
1594858321,2,0
1594858921,5,0
1594859522,54,40
1594861321,2,0
1594862522,8,0
1594863721,4,0
1594864321,2,0
1594865282,52,32
1594866122,3,0
1594867201,51,49
1594867322,2,0
1594868522,2,0
1594869721,4,0
1594871043,66,57
1594871521,1,0
1594872121,4,0
1594872962,36,46
1594873321,4,0
1594874521,3,0
1594874882,46,36
1594876280,1,0
1594876802,35,46
1594876921,5,0
1594878121,1,0
1594878722,39,28
1594879321,2,0
1594880522,2,0
1594882562,23,20
1594883192,4,0
1594883522,3,0
1594884121,38,0
1594885321,2,0
1594886404,23,25
1594886521,6,0
1594887721,2,0
1594888921,4,0
1594889521,2,0
1594890482,15,22
1594890721,2,0
1594891321,6,0
1594891922,5,0
1594892402,21,25
1594892521,7,0
1594893122,3,0
1594893721,1,0
1594894922,5,0
1594895521,1,0
1594896242,27,17
1594898521,4,0
1594899121,3,0
1594900082,19,17
1594900322,4,0
1594900922,2,0
1594901521,1,0
1594902121,3,0
1594902721,1,0
1594904161,14,21
1594904521,3,0
1594905121,0,1
1594905721,1,0
1594906321,2,0
1594906921,2,1
1594907521,2,0
1594908242,30,23
1594908722,4,0
1594910164,24,18
1594910521,3,0
1594911122,1,0
1594911721,4,0
1594914003,19,23
1594915321,3,0
1594916521,2,0
1594917844,18,20
1594918922,1,0
1594920121,5,0
1594920721,1,0
1594921321,1,0
1594921682,20,32
1594922522,3,1
1594923721,6,0
1594924921,3,0
1594925522,24,20
1594926121,1,0
1594926721,1,0
1594927322,3,0
1594927921,5,0
1594929362,22,21
1594929722,2,1
1594930321,1,0
1594930921,1,0
1594932721,1,0
1594933203,11,20
1594933322,2,0
1594933921,4,0
1594934521,4,0
1594935122,6,1156
1594935721,4,0
1594937042,1158,1
1594937521,2,0
1594938121,1,0
1594938962,27,19
1594939321,7,0
1594940521,2,0
1594942381,6,0
1594942802,37,15
1594942922,3,0
1594944121,3,0
1594944722,5,0
1594945321,1,0
1594946641,23,20
1594947721,7,0
1594948322,3,0
1594950122,1,0
1594950482,43,29
1594950722,2,0
1594951321,6,0
1594951921,2,0
1594953121,2,0
1594953721,1,0
1594954322,43,54
1594954921,3,0
1594956121,4,1
1594957321,3,0
1594958162,58,57
1594958521,1,0
1594959721,6,0
1594960921,2,2
1594962004,31,40
1594962122,2,0
1594962721,4,0
1594963321,2,0
1594963922,12,1630
1594964521,3,0
1594965121,3,0
1594965842,1628,0
1594967763,24,22
1594968122,3,0
1594969322,1,0
1594970521,3,0
1594971603,29,16
1594971722,1,0
1594972321,1,0
1594972921,6,0
1594974122,3,0
1594974721,2,0
1594975683,17,21
1594975922,1,0
1594976522,3,0
1594977122,4,0
1594977721,2,0
1594978921,3,0
1594979522,18,21
1594980121,2,0
1594980721,4,0
1594981321,1,0
1594982040,5,0
1594982522,0,1
1594983121,1,0
1594983362,19,17
1594983722,8,0
1594984921,1,0
1594985521,2,0
1594986122,1,0
1594986722,3,0
1594987203,20,15
1594987321,3,1
1594988521,2,0
1594989121,8,27
1594990921,4,0
1594991522,1,0
1594992962,22,16
1594993321,1,0
1594995122,5,0
1594995722,1,0
1594996801,18,19
1594996921,2,0
1594997522,1,0
1594998121,4,0
1594998721,5,0
1594999321,8,0
1595000642,18,15
1595001121,1,0
1595001721,1,0
1595002921,2,0
1595004121,1,0
1595004481,26,24
1595005321,3,0
1595006521,2,10
1595007121,1,0
1595007721,1,0
1595008321,3,0
1595008921,2,1
1595010243,37,45
1595010721,2,0
1595011321,1,0
1595012521,7,0
1595013722,3,0
1595014321,2,0
1595014922,1,0
1595016121,3,0
1595016721,6,0
1595017923,8,1852
1595017981,2,0
1595018522,2,0
1595019121,0,1
1595020082,1832,0
1595022002,20,15
1595022121,1,0
1595023921,3,0
1595024521,1,0
1595025122,2,0
1595025842,24,24
1595026921,5,0
1595028122,1,0
1595029021,1,0
1595029682,48,30
1595030522,1,0
1595031121,3,0
1595032642,1,0
1595033521,21,18
1595033522,3,0
1595034121,4,0
1595034721,1,0
1595035321,2,0
1595036521,6,0
1595037721,2,0
1595038921,5,0
1595039617,80,83
1595040121,5,0
1595040721,2,1
1595041321,6,0
1595042521,2,0
1595043362,58,69
1595043722,6,0
1595044922,2,0
1595046121,4,0
1595046467,1,0
1595047202,29,30
1595047322,5,0
1595048521,1,0
1595049721,7,0
1595051042,47,33
1595052121,3,0
1595053413,2,0
1595054521,4,0
1595054882,18,16
1595055721,4,0
1595056322,18,0
1595056921,3,0
1595057521,2,0
1595058122,4,0
1595058722,18,20
1595059321,7,0
1595060521,3,0
1595061721,3,2
1595062321,3,0
1595062562,17,19
1595062921,2,0
1595063521,6,0
1595063655,1,0
1595064782,4,0
1595065321,2,0
1595065921,1,0
1595066521,10,0
1595067721,2,0
1595068322,37,29
1595068922,5,0
1595070121,4,0
1595070721,3,0
1595071321,3,0
1595072161,16,20
1595072522,3,0
1595073121,2,0
1595074322,1,0
1595074921,1,0
1595075581,3,0
1595076002,20,23
1595076121,0,1
1595076721,3,0
1595077321,2,0
1595077921,1,0
1595079843,21,19
1595080927,2,0
1595082781,2,0
1595083322,1,0
1595083684,29,26
1595084521,1,0
1595085122,3,0
1595086381,0,1
1595086921,1,0
1595087522,19,19
1595088121,2,0
1595089321,1,0
1595089921,1,0
1595090521,2,0
1595091361,16,22
1595091721,4,0
1595092921,2,0
1595094121,2,0
1595094722,2,0
1595095205,16,22
1595095321,2,0
1595095921,4,1
1595096521,2,0
1595097122,20,17
1595097181,0,1
1595097722,4,0
1595098322,2,0
1595098921,1,0
1595100121,1,0
1595100962,13,17
1595101321,0,1
1595101921,2,0
1595102522,5,0
1595103721,6,1
1595104802,17,21
1595104922,5,0
1595105521,0,1
1595106121,1,1
1595106722,2,0
1595107322,3,0
1595107921,5,0
1595108642,21,23
1595109121,1,2
1595110921,1,0
1595111521,3,0
1595111582,1,0
1595112121,3,0
1595113322,5,0
1595113921,2,0
1595114401,20,18
1595115721,3,0
1595116322,0,2
1595116921,1,1
1595118242,41,16
1595119322,1,0
1595120162,21,23
1595120521,3,2
1595121722,2,0
1595122922,4,0
1595124004,36,25
1595124122,1,0
1595124721,1,0
1595125922,9,2259
1595128082,2244,0
1595128921,2,0
1595129521,4,0
1595130002,62,67
1595130121,5,0
1595131321,2,2
1595132521,3,0
1595133844,32,33
1595136216,5,0
1595136781,2,0
1595137684,29,28
1595137921,1,0
1595139121,3,0
1595139772,1,1
1595141521,24,17
1595142121,3,0
1595143322,1,0
1595144521,3,0
1595145361,25,15
1595145721,2,0
1595146921,6,0
1595148121,6,0
1595148721,1,0
1595149204,20,19
1595149322,2,0
1595150521,1,0
1595151122,3,1822
1595151721,1,0
1595153042,1,540
1595153521,1,0
1595153925,1,0
1595154121,6,0
1595154721,6,0
1595154962,2353,4
1595155921,2,0
1595156521,2,0
1595157721,4,0
1595158322,2,0
1595158802,21,15
1595160121,2,0
1595160721,16,23
1595161321,4,0
1595161921,3,0
1595162521,2,0
1595163721,2,0
1595164921,8,0
1595166121,2,0
1595166482,16,21
1595166721,2,0
1595167921,3,0
1595168522,1,0
1595169121,2,0
1595170321,19,19
1595170922,2,1
1595171522,3,0
1595173921,1,0
1595174404,21,22
1595174522,5,0
1595175721,4,2
1595176322,21,18
1595176921,1,0
1595178121,2,3
1595178721,1,0
1595179322,1,0
1595180163,23,19
1595180521,1,0
1595181121,5,0
1595182921,0,1
1595183521,1,0
1595184002,19,23
1595184721,2,0
1595185321,1,0
1595185922,44,40
1595186521,1,0
1595187846,23,10
1595188922,4,0
1595190121,1,0
1595191322,5,0
1595191682,19,15
1595191921,0,1
1595193722,5,0
1595194321,1,0
1595194381,0,1
1595194922,1,0
1595195521,13,26
1595196121,1,0
1595197322,3,1
1595198522,2,0
1595199362,25,29
1595199722,2,0
1595200999,1,1
1595201522,17,1451
1595202122,3,0
1595203683,1460,0
1595204522,3,0
1595205601,19,15
1595206321,3,0
1595208121,1,1
1595209441,40,29
1595210521,3,0
1595211363,38,49
1595211721,3,0
1595212921,2,1
1595214121,2,1
1595215321,1,0
1595216522,5,0
1595217122,58,66
1595217721,1,0
1595218921,2,0
1595220121,2,0
1595220722,1,0
1595221321,1,0
1595222521,2,0
1595222882,86,61
1595223722,0,1
1595223826,1,0
1595224921,4,1
1595226121,1,0
1595226724,24,20
1595227321,2,1
1595227921,1,0
1595229121,2,0
1595229721,3,0
1595230562,21,24
1595232122,2,0
1595232482,25,21
1595233322,3,0
1595233921,1,0
1595234521,1,0
1595235121,1,0
1595235721,0,1
1595237521,1,0
1595239322,1,0
1595239921,1,0
1595240162,19,22
1595240521,4,1
