DateTime,AddedIPs,RemovedIPs
1594703728,76,315
1594704487,19,8
1594704844,44,276
1594706411,15,11
1594708487,166,184
1594708844,39,95
1594710518,27,15
1594710911,37,126
1594711358,74,0
1594712556,21,10
1594713348,81,111
1594714357,36,7
1594714948,97,151
1594715644,28,85
1594716250,9,11
1594718165,26,10
1594720115,192,184
1594720630,45,26
1594722008,14,565
1594722845,252,179
1594723929,16,9
1594725847,297,0
1594727404,493,270
1594727764,17,17
1594729113,133,97
1594729681,21,19
1594730044,55,143
1594731875,19,22
1594732635,173,153
1594733411,512,760
1594734015,90,126
1594735957,19,13
1594737243,182,234
1594737845,14,7
1594738444,76,30
1594739766,13,15
1594739802,72,74
1594741716,55,132
1594742325,127,99
1594743611,20,16
1594744443,183,117
1594745526,18,16
1594747474,13,11
1594748044,164,263
1594749364,22,9
1594750572,89,271
1594751285,11,8
1594751643,62,140
1594753231,27,16
1594755123,63,54
1594755911,593,609
1594756203,72,142
1594757046,15,15
1594758990,16,20
1594760890,141,209
1594761162,156,120
1594762838,18,5
1594763637,172,124
1594764731,12,7
1594766044,110,364
1594766648,12,9
1594766711,0,250
1594768594,247,0
1594769104,131,207
1594769644,22,107
1594770496,6,16
1594770840,97,0
1594771252,17,152
1594772678,8,12
1594773244,86,108
1594774564,12,22
1594776481,11,4
1594778448,250,266
1594780324,5,10
1594780445,135,262
1594782247,3,7
1594784195,207,327
1594786090,12,11
1594788013,201,266
1594789383,73,88
1594789957,9,7
1594791244,107,109
1594791846,9,8
1594794118,84,150
1594794246,48,1
1594795962,8,12
1594797850,100,313
1594798443,62,117
1594799801,9,14
1594800622,95,153
1594801693,15,16
1594802044,54,114
1594803643,7,18
1594804642,148,273
1594805530,8,7
1594806017,77,139
1594807448,10,573
1594809405,309,326
1594811300,499,170
1594812944,47,511
1594813210,25,7
1594813405,74,97
1594815159,22,4
1594817049,183,182
1594818972,140,390
1594820044,76,159
1594820924,10,7
1594821570,109,134
1594822811,13,8
1594823643,96,152
1594824768,7,6
1594826651,156,131
1594827245,65,90
1594828633,12,9
1594828813,1274,510
1594830483,95,59
1594832443,146,206
1594834328,8,15
1594834443,146,277
1594836498,106,35
1594837363,60,98
1594838408,46,95
1594839263,109,35
1594840360,11,29
1594841643,145,166
1594842247,18,5
1594843212,347,27
1594844169,16,30
1594844575,94,68
1594845246,45,97
1594846114,5,10
1594848009,21,20
1594849512,489,259
