DateTime,Entries,UniqueIPs
1594272487,6590,6590
1594274422,6607,6607
1594276402,6616,6616
1594278257,6627,6627
1594280168,6617,6617
1594282121,6599,6599
1594284011,6611,6611
1594285930,6612,6612
1594287873,6612,6612
1594289767,3275,3275
1594291687,3271,3271
1594293904,4694,4694
1594295772,4724,4724
1594297689,4787,4787
1594299635,4825,4825
1594301610,4873,4873
1594303694,4887,4887
1594305611,4889,4889
1594307797,4898,4898
1594309686,4906,4906
1594311612,4899,4899
1594313854,4905,4905
1594315709,4902,4902
1594317602,4941,4941
1594319548,5014,5014
1594321447,5079,5079
1594323389,5120,5120
1594325291,5181,5181
1594327209,5221,5221
1594329151,5246,5246
1594331045,5255,5255
1594332964,5263,5263
1594334912,5281,5281
1594336806,6493,6493
1594338728,6509,6509
1594340651,6523,6523
1594342569,6544,6544
1594344485,6549,6549
1594346410,6550,6550
1594348378,6548,6548
1594350495,6555,6555
1594352407,6597,6597
1594354358,6646,6646
1594356248,6689,6689
1594358169,6691,6691
1594360112,6711,6711
1594362007,6730,6730
1594363925,6782,6782
1594365876,6805,6805
1594367769,6811,6811
1594369686,6828,6828
1594371633,6823,6823
1594373533,6868,6868
1594375475,3834,3834
1594377376,3827,3827
1594379537,5258,5258
1594381451,5253,5253
1594383395,5306,5306
1594385286,5316,5316
1594387232,5342,5342
1594389129,5355,5355
1594391048,5378,5378
1594393029,5366,5366
1594394882,5359,5359
1594396816,5383,5383
1594398754,5413,5413
1594400677,5424,5424
1594402571,5396,5396
1594404524,5412,5412
1594406410,5432,5432
1594408335,5450,5450
1594410278,5475,5475
1594412170,5485,5485
1594414084,5503,5503
1594416008,5503,5503
1594417926,5499,5499
1594419852,5503,5503
1594421767,5504,5504
1594423714,6767,6767
1594425686,6784,6784
1594427556,6805,6805
1594429728,6831,6831
1594431606,6837,6837
1594433562,6815,6815
1594435449,6815,6815
1594437365,6795,6795
1594439312,6790,6790
1594441203,6786,6786
1594443127,6788,6788
1594445074,6795,6795
1594446967,6774,6774
1594449127,6750,6750
1594451048,6742,6742
1594452995,6735,6735
1594454887,6729,6729
1594456810,6746,6746
1594458759,6747,6747
1594460647,6745,6745
1594462567,3105,3105
1594464514,3124,3124
1594466407,4798,4798
1594468328,4761,4761
1594470279,4780,4780
1594472165,4779,4779
1594474084,4783,4783
1594476040,4803,4803
1594477928,4797,4797
1594479852,4823,4823
1594482298,4793,4793
1594484171,4743,4743
1594486109,4687,4687
1594488014,4676,4676
1594489933,4678,4678
1594491876,4689,4689
1594493764,4678,4678
1594495684,4690,4690
1594497643,4684,4684
1594499526,4696,4696
1594501445,4702,4702
1594503395,4670,4670
1594505285,4658,4658
1594507212,4685,4685
1594509160,6227,6227
1594511052,6219,6219
1594512967,6197,6197
1594514919,6207,6207
1594516806,6291,6291
1594518726,6315,6315
1594520678,6314,6314
1594522567,6319,6319
1594524483,6293,6293
1594526521,6246,6246
1594528333,6183,6183
1594530495,6152,6152
1594532435,6124,6124
1594534331,6093,6093
1594536247,6088,6088
1594538440,6083,6083
1594540327,6064,6064
1594542249,6064,6064
1594544192,6062,6062
1594546085,6025,6025
1594548008,3040,3040
1594549955,3036,3036
1594551853,4350,4350
1594553768,4378,4378
1594555718,4401,4401
1594557607,4437,4437
1594559529,4433,4433
1594561476,4400,4400
1594563367,4407,4407
1594565535,4408,4408
1594567475,4396,4396
1594569369,4383,4383
1594571292,4445,4445
1594573253,4502,4502
1594575128,4497,4497
1594577055,4477,4477
1594579054,4484,4484
1594580972,4477,4477
1594582805,4596,4596
1594584756,4664,4664
1594586645,4667,4667
1594588569,4662,4662
1594590510,4657,4657
1594592408,4695,4695
1594594324,4724,4724
1594596278,5928,5928
1594598167,5955,5955
1594600118,5956,5956
1594602007,5952,5952
1594603953,5964,5964
1594605848,6009,6009
1594607769,6005,6005
1594609714,5999,5999
1594611610,6040,6040
1594613528,6048,6048
1594615477,6072,6072
1594617365,6079,6079
1594619291,6090,6090
1594621317,6112,6112
1594623129,6144,6144
1594625076,6144,6144
1594626967,6216,6216
1594628883,6217,6217
1594630845,6203,6203
1594632724,6192,6192
1594634650,3351,3351
1594636592,3377,3377
1594638502,4577,4577
1594640406,4573,4573
1594642359,4619,4619
1594644246,4640,4640
1594646176,4655,4655
1594648109,4660,4660
1594650006,4677,4677
1594651923,4671,4671
1594653851,4668,4668
1594655762,4731,4731
1594657711,4768,4768
1594659605,4799,4799
1594661557,4817,4817
1594663445,4862,4862
1594665367,4891,4891
1594667312,4930,4930
1594669214,4949,4949
1594671130,4969,4969
1594673049,4985,4985
1594674991,5030,5030
1594676886,5052,5052
1594678804,5067,5067
1594680758,5093,5093
1594682646,6137,6137
1594684569,6153,6153
1594686509,6179,6179
1594688414,6186,6186
1594690351,6176,6176
1594692251,6156,6156
1594694192,6169,6169
1594696704,6176,6176
1594698756,6188,6188
1594700648,6204,6204
1594702592,6224,6224
1594704487,6239,6239
1594706411,6247,6247
1594708487,6267,6267
1594710518,6274,6274
1594712556,6295,6295
1594714357,6330,6330
1594716250,6337,6337
1594718165,6378,6378
1594720115,6374,6374
1594722008,3272,3272
1594723929,3285,3285
1594725847,4749,4749
1594727764,4744,4744
1594729681,4772,4772
1594731875,4792,4792
1594734015,4786,4786
1594735957,4785,4785
1594737845,4794,4794
1594739766,4810,4810
1594741716,4790,4790
1594743611,4815,4815
1594745526,4787,4787
1594747474,4796,4796
1594749364,4808,4808
1594751285,4808,4808
1594753231,4815,4815
