DateTime,Entries,UniqueIPs
1594337401,4501,4501
1594339201,4375,4375
1594341001,4204,4204
1594342801,4036,4036
1594344602,3909,3909
1594346401,3846,3846
1594348201,3782,3782
1594350002,3696,3696
1594351801,3679,3679
1594353601,3714,3714
1594355401,3747,3747
1594357201,3811,3811
1594359001,3878,3878
1594360801,3902,3902
1594362601,3972,3972
1594364402,4067,4067
1594366201,4124,4124
1594368002,4086,4086
1594369802,4148,4148
1594371601,4538,4538
1594373402,4866,4866
1594375201,4980,4980
1594377002,5098,5098
1594378801,5221,5221
1594380602,5304,5304
1594382402,5366,5366
1594384201,5425,5425
1594386002,5770,5770
1594387801,6030,6030
1594389601,6342,6342
1594391402,6786,6786
1594393201,6857,6857
1594395002,6969,6969
1594396802,6881,6881
1594398601,6678,6678
1594400402,6585,6585
1594402201,6692,6692
1594404001,6818,6818
1594405801,6929,6929
1594407602,6832,6832
1594409403,6836,6836
1594411201,6791,6791
1594413001,6514,6514
1594414801,6126,6126
1594416602,5805,5805
1594418402,5603,5603
1594420202,5782,5782
1594422001,5732,5732
1594423801,5774,5774
1594425601,5717,5717
1594427402,5781,5781
1594429201,5858,5858
1594431002,5569,5569
1594432801,5672,5672
1594434601,5661,5661
1594436401,5653,5653
1594438201,5704,5704
1594440001,5790,5790
1594441802,5903,5903
1594443601,5816,5816
1594445401,5635,5635
1594447201,5460,5460
1594449001,5276,5276
1594450801,5278,5278
1594452601,5288,5288
1594454401,5061,5061
1594456201,5220,5220
1594458001,5083,5083
1594459801,4987,4987
1594461601,4953,4953
1594463402,4638,4638
1594465202,4581,4581
1594467002,4621,4621
1594468801,4640,4640
1594470601,4511,4511
1594472402,4512,4512
1594474201,4299,4299
1594476002,4099,4099
1594477801,3957,3957
1594479601,3559,3559
1594481401,3729,3729
1594483201,4722,4722
1594485001,4965,4965
1594486801,5000,5000
1594488601,5016,5016
1594490401,5015,5015
1594492201,5071,5071
1594494001,5085,5085
1594495802,5066,5066
1594497601,5062,5062
1594499401,5095,5095
1594501201,5095,5095
1594503001,5050,5050
1594504802,5063,5063
1594506601,5306,5306
1594508402,5363,5363
1594510201,5406,5406
1594512001,5424,5424
1594513801,5521,5521
1594515602,5505,5505
1594517402,5613,5613
1594519202,5717,5717
1594521001,5868,5868
1594522801,5984,5984
1594524602,6096,6096
1594526401,5305,5305
1594528201,4684,4684
1594530001,4629,4629
1594531801,4619,4619
1594533602,4602,4602
1594535401,4634,4634
1594537201,4635,4635
1594539001,4679,4679
1594540801,5001,5001
1594542601,5396,5396
1594544401,5766,5766
1594546202,6098,6098
1594548001,6363,6363
1594549802,6481,6481
1594551602,6454,6454
1594553402,6351,6351
1594555201,6328,6328
1594557001,6381,6381
1594558801,6435,6435
1594560602,6567,6567
1594562401,6635,6635
1594564201,6929,6929
1594566001,7049,7049
1594567801,7392,7392
1594569601,7817,7817
1594571401,8113,8113
1594573201,8403,8403
1594575001,8886,8886
1594576802,9089,9089
1594578601,9169,9169
1594580402,9186,9186
1594582201,9207,9207
1594584002,9059,9059
1594585801,8670,8670
1594587602,8574,8574
1594589402,8390,8390
1594591201,8146,8146
1594593002,7916,7916
1594594801,7639,7639
1594596601,7650,7650
1594598401,7633,7633
1594600202,7677,7677
1594602001,8587,8587
1594603801,8457,8457
1594605601,8269,8269
1594607401,8110,8110
1594609201,8313,8313
1594611001,8563,8563
1594612802,8234,8234
1594614602,8020,8020
1594616402,7918,7918
1594618201,8272,8272
1594620001,8032,8032
1594621801,8041,8041
1594623601,8348,8348
1594625401,9094,9094
1594627202,9666,9666
1594629002,10730,10730
1594630802,11155,11155
1594632601,11390,11390
1594634401,11928,11928
1594636203,12314,12314
1594638002,12733,12733
1594639802,13270,13270
1594641602,13891,13891
1594643401,13949,13949
1594645202,13340,13340
1594647002,12995,12995
1594648801,13054,13054
1594650603,13151,13151
1594652402,12957,12957
1594654202,12225,12225
1594656002,12322,12322
1594657802,12379,12379
1594659602,12448,12448
1594661401,11788,11788
1594663202,11634,11634
1594665001,11739,11739
1594666801,11785,11785
1594668601,11195,11195
1594670401,10878,10878
1594672201,9943,9943
1594674002,9186,9186
1594675801,8873,8873
1594677602,8437,8437
1594679401,7924,7924
1594681201,7529,7529
1594683001,7069,7069
1594684801,6338,6338
1594686601,5729,5729
1594688402,5577,5577
1594690201,5422,5422
1594692001,5332,5332
1594693801,5152,5152
1594695601,5078,5078
1594697401,5035,5035
1594699201,5144,5144
1594701002,5073,5073
1594702801,5023,5023
1594704601,5009,5009
1594706401,5032,5032
1594708201,5045,5045
1594710001,5094,5094
1594711801,5045,5045
1594713602,5051,5051
1594715401,5116,5116
1594717201,5239,5239
1594719001,5365,5365
1594720802,5524,5524
1594722602,5478,5478
1594724401,5558,5558
1594726201,5627,5627
1594728001,5747,5747
1594729802,12073,12073
1594731602,14434,14434
1594733402,15450,15450
1594735202,16331,16331
1594737003,17767,17767
1594738802,18359,18359
1594740603,18526,18526
1594742403,18395,18395
1594744202,18401,18401
1594746003,18706,18706
1594747803,19214,19214
1594749603,19717,19717
1594751404,21778,21778
1594753204,19354,19354
1594755004,16114,16114
1594756804,12872,12872
1594758604,11667,11667
1594760404,11224,11224
1594762205,9882,9882
1594764005,10003,10003
1594765804,10146,10146
1594767605,10308,10308
1594769405,9982,9982
1594771206,8469,8469
1594773006,5999,5999
1594774805,4939,4939
1594776605,4850,4850
1594778407,4252,4252
1594780207,4001,4001
1594782006,3968,3968
1594783806,3790,3790
1594785606,3408,3408
1594787406,3335,3335
1594789206,3270,3270
1594791007,3128,3128
1594792807,2858,2858
1594794607,2876,2876
1594796408,2905,2905
1594798208,3088,3088
1594800006,3374,3374
1594801807,3379,3379
1594803606,3263,3263
1594805405,3294,3294
1594807205,3337,3337
1594809006,3385,3385
1594810805,3440,3440
1594812605,3475,3475
1594814405,3519,3519
1594816205,3597,3597
1594818004,3648,3648
1594819803,3725,3725
1594821604,3854,3854
1594823404,3684,3684
1594826103,3426,3426
1594827903,3246,3246
1594829702,3061,3061
1594831502,2952,2952
1594833303,2864,2864
1594835103,2787,2787
1594836902,2874,2874
1594838701,2836,2836
1594840501,2832,2832
1594842301,2672,2672
1594844101,2376,2376
1594845901,2210,2210
1594847701,2134,2134
1594849501,2261,2261
1594851302,2298,2298
1594853101,2328,2328
1594854901,2442,2442
1594856701,2533,2533
1594858501,2512,2512
1594860301,2480,2480
1594862102,2462,2462
1594863901,2424,2424
1594865701,2590,2590
1594867501,2694,2694
1594869301,2838,2838
1594871102,3082,3082
1594872901,3280,3280
1594874702,3493,3493
1594876502,3690,3690
1594878301,3867,3867
1594880101,4023,4023
1594881901,3943,3943
1594883701,4062,4062
1594885502,4144,4144
1594887302,4343,4343
1594889101,4639,4639
1594890901,4860,4860
1594892701,4926,4926
1594894501,5150,5150
1594896301,5198,5198
1594898101,5352,5352
1594899901,5492,5492
1594901701,5649,5649
1594903502,5870,5870
1594905301,6052,6052
1594907101,6209,6209
1594909801,6314,6314
1594912501,6426,6426
1594915201,6436,6436
1594917002,7748,7748
1594918801,7951,7951
1594920601,7875,7875
1594922402,7888,7888
1594924202,7834,7834
1594926001,8044,8044
1594927802,8232,8232
1594929602,8076,8076
1594931401,7884,7884
1594933202,7638,7638
1594935001,7395,7395
1594936802,7241,7241
1594938602,7098,7098
1594940401,6739,6739
1594942201,6501,6501
1594944001,6365,6365
1594945801,6229,6229
1594947601,6086,6086
1594949401,5972,5972
1594951201,5918,5918
1594953001,5869,5869
1594954801,5758,5758
1594956601,5577,5577
1594958401,5407,5407
1594960201,5324,5324
1594962001,3970,3970
1594963801,3798,3798
1594965601,3689,3689
