DateTime,AddedIPs,RemovedIPs
1594805522,35,6
1594806121,20,4
1594806721,14,29
1594807321,17,26
1594807921,19,0
1594808521,18,0
1594809721,27,17
1594810921,16,56
1594812121,18,23
1594812721,27,17
1594813321,24,16
1594814521,26,29
1594815121,28,23
1594815721,21,15
1594816321,14,19
1594816922,8,12
1594818122,14,7
1594818721,10,6
1594819321,19,6
1594819921,26,12
1594820521,26,65
1594822321,30,84
1594822921,22,0
1594823521,24,24
1594824721,24,5
1594825322,13,0
1594826522,28,42
1594827121,28,0
1594828321,19,87
1594829521,26,55
1594830122,16,0
1594831321,16,6
1594831921,7,8
1594832521,10,33
1594833722,22,0
1594834321,11,42
1594834921,31,0
1594836121,37,32
1594837322,24,0
1594838522,17,47
1594839721,30,23
1594840922,30,28
1594842121,29,53
1594843321,36,27
1594843922,25,0
1594845121,25,23
1594845722,19,0
1594846321,17,11
1594846922,13,33
1594848122,38,25
1594848721,31,0
1594849321,36,32
1594850521,25,27
1594851721,13,36
1594852321,10,0
1594853521,20,7
1594854122,19,24
1594855322,31,0
1594856521,27,49
1594857722,42,77
1594858321,12,0
1594858921,13,11
1594859522,8,40
1594860122,19,9
1594861321,22,0
1594862522,28,13
1594863721,37,57
1594864321,15,0
1594864921,13,35
1594866122,14,0
1594867322,9,40
1594868522,17,0
1594869121,20,43
1594870321,33,0
1594870921,33,24
1594872121,23,0
1594873321,20,11
1594874521,23,0
1594875721,17,79
1594876921,27,54
1594878121,24,53
1594879321,14,0
1594880522,13,13
1594881121,19,51
1594882321,31,25
1594882921,23,0
1594883522,20,0
1594884121,20,21
1594885321,19,23
1594886521,28,32
1594887721,22,23
1594888921,20,45
1594889521,19,6
1594890122,21,35
1594890721,24,0
1594891321,50,0
1594891922,12,20
1594892521,24,26
1594893122,12,14
1594893721,20,30
1594894922,18,39
1594896122,28,24
1594897321,16,0
1594897921,17,18
1594898521,29,18
1594899121,34,25
1594899721,16,18
1594900322,28,0
1594900922,23,15
1594901521,20,30
1594902121,15,17
1594902721,20,6
1594903321,9,0
1594904521,10,26
1594905121,9,49
1594906321,22,0
1594906921,19,28
1594907521,19,21
1594908121,29,0
1594908722,40,58
1594909921,34,12
1594910521,6,21
1594911122,6,10
1594911721,14,26
1594912921,35,41
1594914721,26,0
1594915321,25,18
1594916521,15,52
1594917722,14,4
1594918922,15,11
1594920121,18,48
1594920721,20,28
1594921321,16,17
1594922522,32,27
1594923721,25,36
1594924921,21,39
1594925521,8,0
1594926122,15,36
1594927322,17,23
1594927921,23,0
1594929121,26,40
1594929722,26,0
1594930321,16,38
1594930921,8,0
1594931521,9,39
1594932721,10,9
1594933322,16,0
1594933921,30,17
1594934521,22,0
1594935721,28,62
1594936921,33,42
1594937521,20,11
1594938121,24,0
1594939321,19,5
1594940521,29,40
1594941721,35,50
1594942922,34,0
1594944121,23,17
1594944722,22,15
1594945321,9,5
1594946521,19,47
1594947721,31,48
1594948322,20,0
1594948921,14,0
1594950122,27,20
1594951321,22,72
1594951921,8,0
1594952521,11,0
1594953121,14,14
1594953721,12,15
1594954921,22,15
1594956121,32,16
1594957321,17,23
1594958521,31,45
1594959721,22,14
1594960921,25,24
1594962122,18,44
1594962721,23,0
1594963321,21,0
1594963921,39,26
1594965121,31,27
1594965721,14,0
1594966321,4,10
1594967521,17,17
1594968122,13,0
1594969322,15,44
1594970521,16,31
1594971121,22,29
1594972321,27,0
1594972921,11,17
1594973521,8,0
1594974122,14,5
1594974721,23,0
1594975922,24,35
1594976522,29,0
1594977122,23,18
1594977721,23,79
1594978921,21,30
1594979522,10,13
1594980121,10,0
1594980721,17,34
1594981321,12,0
1594981921,21,21
1594983121,32,17
1594983722,14,19
1594984921,24,19
1594985521,34,57
1594986122,16,0
