DateTime,AddedIPs,RemovedIPs
1594786921,6,5
1594788121,1,11
1594789321,11,5
1594790522,14,2
1594791721,12,2
1594793522,14,29
1594794121,3,4
1594795321,4,3
1594795921,6,9
1594796521,3,6
1594797722,14,9
1594798921,11,0
1594799522,2,15
1594800121,6,10
1594800722,2,0
1594801321,6,0
1594802522,8,11
1594803122,2,0
1594803721,5,13
1594804322,5,0
1594804921,3,0
1594805522,0,8
1594806121,7,6
1594807321,4,9
1594807921,0,3
1594809721,7,11
1594810921,16,22
1594811521,3,0
1594812721,5,11
1594813321,1,0
1594814521,3,4
1594815121,1,4
1594815721,1,11
1594816922,1,9
1594817522,7,0
1594818122,3,1
1594818721,0,5
1594819321,7,3
1594819921,42,0
1594820521,4,0
1594821121,0,3
1594821721,4,0
1594822321,1,11
1594822921,6,0
1594824121,5,7
1594824721,2,5
1594825322,2,0
1594825921,1,7
1594826522,4,2
1594827121,7,7
1594828921,8,3
1594829521,3,7
1594830122,3,2
1594831321,6,0
1594831921,6,10
1594832521,4,6
1594833722,10,4
1594834321,2,0
1594834921,3,5
1594836121,11,21
1594837322,13,0
1594838522,8,14
1594839721,12,21
1594840321,10,3
1594840921,0,12
1594841521,1,2
1594842721,12,0
1594843321,3,15
1594843922,19,2
1594845121,11,17
1594845722,5,0
1594846321,2,11
1594847521,8,49
1594848122,2,7
1594848721,21,0
1594849321,2,9
1594849921,2,37
1594851721,14,10
1594852921,30,0
1594853521,12,11
1594854121,0,17
1594855321,14,0
1594856521,5,6
1594857722,19,20
1594858321,8,0
1594858921,10,6
1594859522,10,0
1594860121,4,11
1594861321,24,23
1594862522,24,14
1594863721,14,27
1594864321,10,0
1594864921,13,15
1594866122,16,0
1594867322,4,19
1594868522,10,0
1594869721,10,7
1594870921,8,19
1594871521,9,0
1594872121,3,0
1594873321,12,9
1594874521,19,0
1594875721,10,6
1594876921,12,19
1594878121,6,16
1594878721,5,0
1594880522,8,0
1594881121,1,7
1594882321,6,9
1594882921,5,12
1594883522,9,0
1594884121,70,0
1594884721,4,8
1594885921,12,9
1594886521,5,4
1594887721,6,3
1594888921,13,8
1594889521,3,3
1594890122,6,7
1594890721,3,0
1594891321,5,5
1594891922,9,5
1594892521,8,6
1594893122,2,7
1594893721,4,0
1594894321,1,0
1594894922,7,8
1594895521,4,0
1594896122,5,4
1594896721,4,0
1594897921,2,1
1594898521,2,5
1594899121,1,0
1594899721,2,9
1594900322,1,0
1594900922,1,1
1594901521,0,2
1594902121,3,0
1594902721,1,0
1594903321,1,3
1594904521,4,10
1594905121,1,4
1594905721,2,8
1594906321,2,26
1594906921,1,14
1594907521,0,10
1594908121,1,2
1594908722,0,7
1594909321,0,4
1594910521,6,4
1594911122,0,2
1594911721,4,1
1594913521,7,7
1594914121,1,16
1594915321,2,4
1594915921,1,0
1594916521,2,8
1594917121,7,3
1594917722,3,5
1594920121,10,6
1594920721,4,1
1594921922,7,14
1594922521,12,0
1594923721,12,6
1594924921,12,17
1594925521,2,0
1594926121,10,0
1594926721,2,3
1594927322,4,0
1594927921,5,0
1594928522,5,0
1594929722,7,14
1594930921,2,26
1594931521,2,0
1594932121,15,11
1594932721,2,12
1594933921,9,0
1594934521,11,5
1594935121,1,21
1594935721,8,0
1594936921,9,15
1594937521,6,7
1594938721,12,20
1594939321,1,0
1594940521,13,26
1594941721,7,26
1594942922,10,0
1594943522,4,7
1594944121,4,0
1594944722,3,19
1594945321,1,10
1594946521,12,25
1594947721,4,32
1594948921,8,0
1594950722,9,56
1594951921,3,20
1594952521,5,0
1594953121,3,15
1594953721,3,14
1594954921,9,14
1594955521,4,9
1594956721,7,0
1594957321,3,23
1594959121,8,22
1594960322,9,19
1594960921,5,26
1594962122,11,17
1594963321,1,0
1594964521,6,12
1594965721,7,6
1594966921,1,11
1594967521,6,3
1594968721,11,4
1594969322,7,2
1594970521,4,31
1594971722,11,74
1594972321,2,0
1594973521,20,34
1594974122,2,12
1594974721,10,0
1594975322,7,6
1594975922,4,0
1594977122,23,18
1594977721,8,11
1594978921,22,19
1594979522,1,6
1594980121,10,0
1594981321,14,11
1594982522,15,10
1594983121,15,0
1594983722,6,4
1594984921,0,2
1594985521,2,7
1594986122,3,3
1594987321,0,1
1594988521,13,9
1594989121,9,0
1594989721,2,6
1594990921,12,1
1594991522,8,1
1594992121,1,0
1594993321,3,3
1594993921,1,6
1594995122,13,1
1594995722,5,0
1594996921,13,3
1594997522,4,0
1594998121,13,3
1594998721,7,7
1594999321,12,0
1595001121,2,9
1595001721,5,0
1595002321,9,8
1595004121,10,4
1595005321,8,18
1595006521,5,5
1595007121,6,0
1595007721,0,7
1595008321,1,0
1595008921,2,18
1595010121,3,8
1595010721,1,0
1595011321,6,0
1595011921,2,15
1595012521,3,5
1595013721,3,0
1595014321,4,8
1595014922,9,0
1595016121,8,14
1595016721,2,3
1595017322,3,0
1595017921,2,2
1595018522,4,12
1595019121,19,2
1595024521,30,52
1595025122,11,0
1595025721,21,0
1595026921,24,24
1595027521,3,0
