DateTime,AddedIPs,RemovedIPs
1594800121,52,52
1594800722,46,46
1594801321,35,35
1594802522,90,90
1594803122,34,34
1594803721,51,51
1594804322,49,49
1594804921,41,41
1594805522,21,21
1594806121,53,53
1594807321,72,72
1594807921,32,32
1594808521,21,21
1594809721,55,55
1594810921,57,57
1594811521,21,21
1594812721,35,35
1594813321,20,20
1594814521,56,56
1594815121,18,18
1594815721,15,15
1594816321,35,35
1594816922,28,28
1594817522,59,59
1594818122,57,57
1594818721,12,12
1594819321,32,32
1594819921,69,69
1594820521,47,47
1594821121,19,19
1594821721,40,40
1594822321,14,14
1594822921,45,45
1594824121,62,62
1594824721,38,38
1594825322,33,33
1594825921,14,14
1594826522,32,32
1594827121,57,57
1594828921,76,76
1594829521,56,56
1594830122,59,59
1594831321,73,73
1594831921,34,34
1594832521,49,49
1594833722,59,59
1594834321,19,19
1594834921,19,19
1594836121,78,78
1594837322,91,91
1594838522,91,91
1594839721,94,94
1594840321,63,63
1594840921,19,19
1594841521,13,13
1594842721,91,91
1594843321,38,38
1594843922,95,95
1594845121,93,93
1594845722,63,63
1594846321,30,30
1594847521,85,85
1594848122,29,29
1594848721,79,79
1594849321,53,53
1594849921,46,46
1594851721,97,97
1594852921,97,97
1594853521,77,77
1594854121,52,52
1594855321,88,88
1594856521,82,82
1594857722,87,87
1594858321,63,63
1594858921,63,63
1594859522,62,62
1594860121,59,59
1594861321,92,92
1594862522,90,90
1594863721,94,94
1594864321,60,60
1594864921,71,71
1594866122,99,100
1594867322,80,79
1594868522,78,78
1594869721,91,91
1594870921,89,89
1594871521,66,66
1594872121,42,42
1594873321,94,94
1594874521,96,96
1594875721,93,93
1594876921,85,85
1594878121,61,61
1594878721,64,64
1594879321,9,9
1594880522,87,88
1594881121,25,25
1594882321,55,55
1594882921,37,36
1594883522,61,61
1594884121,99,99
1594884721,46,46
1594885921,92,92
1594886521,58,58
1594887721,87,87
1594888921,91,91
1594889521,22,22
1594890122,45,45
1594890721,45,46
1594891321,63,63
1594891922,51,50
1594892521,70,70
1594893122,55,55
1594893721,59,59
1594894321,38,38
1594894922,39,39
1594895521,50,50
1594896122,30,30
1594896721,41,41
